,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,16616,17696,19231,17283
CV - LinReg - Mean MAPE,0.23530209023438275,0.2555177056453077,0.27754826178679926,0.2546857613061199
CV - LinReg - Mean RMSE,24611,26088,27320,25153
CV - LinReg - Mean R2Score,0.7223,0.6903,0.6609,0.7122
CV - Tree - Mean MAE,17826,17573,16923,16664
CV - Tree - Mean MAPE,0.25276670312833527,0.25766240735862866,0.239415495320865,0.2302894542742706
CV - Tree - Mean RMSE,26979,27223,25847,25943
CV - Tree - Mean R2Score,0.6671,0.6545,0.6932,0.6911
CV - RandForest - Mean MAE,15426,14462,13912,13225
CV - RandForest - Mean MAPE,0.22508827855516297,0.21806979157875764,0.20604902716397827,0.1996424373484718
CV - RandForest - Mean RMSE,24039,22157,21744,20723
CV - RandForest - Mean R2Score,0.736,0.7758,0.7831,0.8045
CV - SVR - Mean MAE,18917,17640,18788,16804
CV - SVR - Mean MAPE,0.2530343731701542,0.2360513634888633,0.253481097447164,0.22824190181106535
CV - SVR - Mean RMSE,29394,27893,29394,26721
CV - SVR - Mean R2Score,0.6087,0.6474,0.6088,0.6765
CV - KNN - Mean MAE,16112,15015,14743,14224
CV - KNN - Mean MAPE,0.23606674017310775,0.2264763672205219,0.22011729299467478,0.21559942073138605
CV - KNN - Mean RMSE,24497,22690,23002,22119
CV - KNN - Mean R2Score,0.7254,0.7649,0.7586,0.776
CV - AdaBoost - Mean MAE,24121,24365,23406,22834
CV - AdaBoost - Mean MAPE,0.3602743889522654,0.3667421606191864,0.34627348589263524,0.33475323315731165
CV - AdaBoost - Mean RMSE,32553,32890,32223,31314
CV - AdaBoost - Mean R2Score,0.5165,0.5059,0.5272,0.5528
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=10, max_features=10,
                      min_samples_split=5, n_estimators=197)","RandomForestRegressor(criterion='absolute_error', max_depth=20, max_features=13,
                      min_samples_split=6, n_estimators=81)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)","RandomForestRegressor(bootstrap=False, max_features=18, min_samples_split=10,
                      n_estimators=142)"
Test-MAE,14128.41,13203.53,12287.17,11893.48
Test-MAPE,0.1667,0.159,0.1507,0.1474
Test-RMSE,21536.43,19580.14,18436.67,17640.78
Test-N-RMSE,0.0812,0.0739,0.0695,0.0665
Test-IQR-RMSE,0.3491,0.3173,0.2988,0.2859
Test-CV-RMSE,0.2364,0.2149,0.2024,0.1937
Test-R2,0.7722,0.8117,0.8331,0.8472
Training-Duration,379.779,793.266,877.795,1183.642
Test-Duration,3.63052e-05,1.94545e-05,4.78468e-05,3.55678e-05
