,basic-subset,extension,location,extension-location
Test-MAE,17252.54,15361.84,16819.23,16194.8
Test-MAPE,0.1973,0.1797,0.1972,0.2015
Test-RMSE,26770.09,24620.54,25221.46,24664.43
Test-N-RMSE,0.101,0.0929,0.0951,0.093
Test-IQR-RMSE,0.4339,0.399,0.4088,0.3997
Test-CV-RMSE,0.2939,0.2703,0.2769,0.2708
Test-R2,0.6481,0.7023,0.6876,0.7013
Training-Duration,65.156,65.474,65.479,65.848
Test-Duration,0.0014508909,0.0016052313,0.0016359759,0.0017488544
