,basic-subset,location,extension,location-extension
CV - LinReg - Mean MAE,14941,16885,15648,418051933390
CV - LinReg - Mean MAPE,0.1861667095654969,0.2187978426864186,0.20081568567599425,5948546.232986329
CV - LinReg - Mean RMSE,21274,22700,21709,6649522841123
CV - LinReg - Mean R2Score,0.7222,0.6849,0.7108,-2.964076453724008e+17
CV - Tree - Mean MAE,16225,15038,15282,15112
CV - Tree - Mean MAPE,0.1941958723930131,0.17915694637656043,0.18868055518663546,0.18870528697536718
CV - Tree - Mean RMSE,23654,22177,22837,22771
CV - Tree - Mean R2Score,0.6568,0.6989,0.6786,0.6814
CV - RandForest - Mean MAE,13994,12558,13209,11848
CV - RandForest - Mean MAPE,0.17446750918188353,0.1584186010966811,0.16565964269255834,0.15047610345076656
CV - RandForest - Mean RMSE,20385,18743,19325,17713
CV - RandForest - Mean R2Score,0.7442,0.7848,0.7706,0.8065
CV - SVR - Mean MAE,16375,16628,15504,14952
CV - SVR - Mean MAPE,0.19405694100032672,0.1974716808411986,0.18562353260244985,0.18331528619814058
CV - SVR - Mean RMSE,24147,23925,22794,21854
CV - SVR - Mean R2Score,0.6446,0.6512,0.682,0.7077
CV - KNN - Mean MAE,14414,13264,13795,12782
CV - KNN - Mean MAPE,0.18073954071344853,0.1667506992088655,0.17492351690503388,0.16285703675748978
CV - KNN - Mean RMSE,20925,19567,20112,18698
CV - KNN - Mean R2Score,0.7314,0.7654,0.752,0.7859
CV - AdaBoost - Mean MAE,21142,21025,20782,21154
CV - AdaBoost - Mean MAPE,0.28524098411125676,0.2883042194812665,0.2807100445038341,0.28707963966354766
CV - AdaBoost - Mean RMSE,27535,27309,26882,27322
CV - AdaBoost - Mean R2Score,0.5362,0.5444,0.5576,0.5424
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=10, max_features=10,
                      min_samples_split=5, n_estimators=197)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)","RandomForestRegressor(criterion='absolute_error', max_depth=20, max_features=8,
                      min_samples_split=10, n_estimators=76)","RandomForestRegressor(criterion='poisson', max_features=15, min_samples_split=7,
                      n_estimators=187)"
Test-MAE,15030.37,13162.37,14104.9,12662.96
Test-MAPE,0.1858,0.1683,0.1728,0.1612
Test-RMSE,22815.25,20263.57,21255.71,19323.07
Test-N-RMSE,0.0973,0.0864,0.0906,0.0824
Test-IQR-RMSE,0.4031,0.358,0.3756,0.3414
Test-CV-RMSE,0.2459,0.2184,0.2291,0.2083
Test-R2,0.689,0.7547,0.73,0.7769
Training-Duration,366.677,836.512,748.827,1660.533
Test-Duration,3.73489e-05,4.86788e-05,1.64881e-05,4.50721e-05
