,basic-subset,extension,location,extension-location
Test-MAE,16264.11,15379.88,14964.81,13793.8
Test-MAPE,0.1776,0.1701,0.1659,0.1532
Test-RMSE,25432.68,24319.41,23796.93,22751.11
Test-N-RMSE,0.0892,0.0853,0.0834,0.0798
Test-IQR-RMSE,0.4377,0.4185,0.4096,0.3916
Test-CV-RMSE,0.2615,0.2501,0.2447,0.2339
Test-R2,0.7342,0.7569,0.7673,0.7873
Training-Duration,2914.673,1815.05,2027.36,1816.373
Test-Duration,0.0004311599,0.0008614399,0.0014961528,0.0009507125
