,basic-subset,extension,location,extension-location
Test-MAE,16900.69,16145.68,16280.66,13540.64
Test-MAPE,0.1724,0.1656,0.163,0.1474
Test-RMSE,27293.01,25750.42,26917.64,21756.85
Test-N-RMSE,0.0957,0.0903,0.0944,0.0763
Test-IQR-RMSE,0.4697,0.4432,0.4633,0.3744
Test-CV-RMSE,0.2807,0.2648,0.2768,0.2237
Test-R2,0.6939,0.7275,0.7022,0.8055
Training-Duration,10.94,11.85,12.353,15.672
Test-Duration,0.0001777284,0.0004850409,0.0001259465,0.0005124402
