,basic-subset,extension,location,extension-location
Test-MAE,16091.12,17375.46,14752.17,16138.6
Test-MAPE,0.1747,0.1837,0.1617,0.178
Test-RMSE,25686.38,26780.6,23236.08,26241.01
Test-N-RMSE,0.0901,0.0939,0.0815,0.092
Test-IQR-RMSE,0.4421,0.4609,0.3999,0.4516
Test-CV-RMSE,0.2641,0.2754,0.2389,0.2698
Test-R2,0.7288,0.7053,0.7781,0.717
Training-Duration,1799.955,1799.956,1800.463,1802.744
Test-Duration,1.73202e-05,2.15666e-05,2.97015e-05,4.3674e-05
