,basic-subset,extension,location,extension-location
Test-MAE,21249.6,19138.08,19160.8,17877.18
Test-MAPE,0.2418,0.2144,0.2098,0.2015
Test-RMSE,32990.15,31144.13,29675.32,30569.61
Test-N-RMSE,0.1157,0.1092,0.1041,0.1072
Test-IQR-RMSE,0.5678,0.536,0.5107,0.5261
Test-CV-RMSE,0.3392,0.3203,0.3051,0.3143
Test-R2,0.5527,0.6014,0.6381,0.6159
Training-Duration,65.282,65.715,65.615,66.256
Test-Duration,0.0014682431,0.0016075385,0.001607069,0.0017392889
