,basic-subset,extension,location,extension-location
Test-MAE,16051.48,17025.25,14042.78,17746.05
Test-MAPE,0.1695,0.1723,0.1524,0.1866
Test-RMSE,24545.7,26404.95,20810.68,26941.08
Test-N-RMSE,0.067,0.0721,0.0568,0.0736
Test-IQR-RMSE,0.4131,0.4444,0.3502,0.4534
Test-CV-RMSE,0.2516,0.2706,0.2133,0.2761
Test-R2,0.7707,0.7347,0.8352,0.7238
Training-Duration,1800.873,1800.093,1800.219,1803.398
Test-Duration,2.30365e-05,2.02975e-05,3.38005e-05,4.45007e-05
