,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,16489,17605,18879,17026
CV - LinReg - Mean MAPE,0.23505422504393464,0.2573970195263591,0.27640870307134885,0.25361797515834034
CV - LinReg - Mean RMSE,24445,25699,26776,24885
CV - LinReg - Mean R2Score,0.7193,0.6906,0.6631,0.7094
CV - Tree - Mean MAE,18165,17049,17016,16750
CV - Tree - Mean MAPE,0.25388925223438596,0.2463107649127881,0.24094164325553025,0.23046207334671479
CV - Tree - Mean RMSE,27557,25602,26062,26231
CV - Tree - Mean R2Score,0.6425,0.6895,0.6758,0.6743
CV - RandForest - Mean MAE,15290,14313,13909,13115
CV - RandForest - Mean MAPE,0.22559366303569686,0.21522210982190448,0.20957280891902355,0.2014285573923023
CV - RandForest - Mean RMSE,23494,21955,21538,20608
CV - RandForest - Mean R2Score,0.7401,0.7734,0.781,0.7996
CV - SVR - Mean MAE,18851,17266,18602,17025
CV - SVR - Mean MAPE,0.2521888460133087,0.23388563093639275,0.25454547716051534,0.2342366117206319
CV - SVR - Mean RMSE,28924,27245,28699,26983
CV - SVR - Mean R2Score,0.6085,0.6529,0.6143,0.6591
CV - KNN - Mean MAE,15924,14869,14774,13999
CV - KNN - Mean MAPE,0.23350386746763077,0.22212102537036862,0.22239262134171808,0.21677336858116586
CV - KNN - Mean RMSE,24337,22703,23131,21924
CV - KNN - Mean R2Score,0.7214,0.7568,0.7486,0.774
CV - AdaBoost - Mean MAE,24500,23590,22982,23954
CV - AdaBoost - Mean MAPE,0.36395782771997753,0.34519488368443196,0.34285091325835365,0.37036923929748183
CV - AdaBoost - Mean RMSE,33033,32245,31199,31654
CV - AdaBoost - Mean R2Score,0.4842,0.5082,0.5416,0.5267
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=20, max_features=4,
                      min_samples_split=7, n_estimators=34)","RandomForestRegressor(max_features=8, min_samples_split=9, n_estimators=46)","RandomForestRegressor(max_features=26, min_samples_split=4, n_estimators=136)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)"
Test-MAE,15768.02,14893.01,13511.15,13480.82
Test-MAPE,0.1663,0.1617,0.143,0.1454
Test-RMSE,24883.57,22764.55,20462.58,20803.14
Test-N-RMSE,0.068,0.0622,0.0559,0.0568
Test-IQR-RMSE,0.4188,0.3831,0.3444,0.3501
Test-CV-RMSE,0.255,0.2333,0.2097,0.2132
Test-R2,0.7644,0.8028,0.8407,0.8353
Training-Duration,380.793,801.241,880.382,1156.939
Test-Duration,7.9178e-06,1.01529e-05,3.62093e-05,4.81409e-05
