,basic-subset,location,extension,location-extension
CV - LinReg - Mean MAE,19704,22106,20521,4536169435218
CV - LinReg - Mean MAPE,200.77849525624464,228.98715303328385,207.96969097885773,64546305.99749558
CV - LinReg - Mean RMSE,39830,41616,40512,73424316397893
CV - LinReg - Mean R2Score,0.5343,0.4919,0.5195,-9.179691650846199e+18
CV - Tree - Mean MAE,24082,21822,22290,20909
CV - Tree - Mean MAPE,206.98091763276997,161.66191727744055,181.21329971338406,214.67595898167582
CV - Tree - Mean RMSE,53317,48242,50058,43888
CV - Tree - Mean R2Score,0.0707,0.2926,0.2322,0.426
CV - RandForest - Mean MAE,19633,19296,18059,17675
CV - RandForest - Mean MAPE,203.18222783737195,170.02301856150297,193.96768737440968,201.59571229611225
CV - RandForest - Mean RMSE,42239,41730,40161,40694
CV - RandForest - Mean R2Score,0.4745,0.4843,0.5263,0.507
CV - SVR - Mean MAE,26428,27832,23581,26120
CV - SVR - Mean MAPE,193.9689305054977,195.4690492158732,194.5477708664703,192.6410523539833
CV - SVR - Mean RMSE,48347,50486,45760,49500
CV - SVR - Mean R2Score,0.3074,0.2458,0.3795,0.2662
CV - KNN - Mean MAE,20631,19736,19150,19401
CV - KNN - Mean MAPE,174.52235623080566,168.9604550364278,179.05744539175456,183.85190664210288
CV - KNN - Mean RMSE,45135,44041,42171,42216
CV - KNN - Mean R2Score,0.3919,0.4082,0.4751,0.4718
CV - AdaBoost - Mean MAE,31823,34278,30694,36539
CV - AdaBoost - Mean MAPE,222.34232011767372,230.6958817069371,239.23435114235525,222.02917711020547
CV - AdaBoost - Mean RMSE,52370,51771,52235,55709
CV - AdaBoost - Mean R2Score,0.1495,0.1911,0.1686,-0.0265
final-model,"KNeighborsRegressor(n_neighbors=10, p=1)","DecisionTreeRegressor(criterion='absolute_error', max_depth=10,
                      min_samples_split=5)","KNeighborsRegressor(n_neighbors=10, p=1)","KNeighborsRegressor(n_neighbors=10, p=3)"
Test-MAE,18549.37,18342.81,16659.9,16003.05
Test-MAPE,0.1878,0.1801,0.1755,0.1688
Test-RMSE,36281.27,36998.46,34181.7,33372.48
Test-N-RMSE,0.0659,0.0672,0.0621,0.0606
Test-IQR-RMSE,0.5782,0.5896,0.5447,0.5318
Test-CV-RMSE,0.3702,0.3775,0.3487,0.3405
Test-R2,0.575,0.558,0.6228,0.6404
Training-Duration,23.333,123.04,46.898,167.478
Test-Duration,1.1004e-05,1.0998e-06,3.96363e-05,0.0004508316
