,basic-subset,location,extension,location-extension
Test-MAE,17489.62,15880.12,15744.34,15374.9
Test-MAPE,0.1822,0.163,0.1657,0.1678
Test-RMSE,35007.48,33986.47,33002.61,33252.97
Test-N-RMSE,0.0636,0.0617,0.06,0.0604
Test-IQR-RMSE,0.5579,0.5416,0.5259,0.5299
Test-CV-RMSE,0.3572,0.3468,0.3367,0.3393
Test-R2,0.6043,0.6271,0.6483,0.643
Training-Duration,70.746,55.516,56.452,56.348
Test-Duration,0.00023168,0.0007862294,0.0003496,0.0009792137
