,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.14306530388820363,-0.1543084134794694,0.267409086227417,0.17821168899536133,10.674237489700317,0.0033380985260009766,0.00035262107849121094,0.3114497661590576,2,True,12
1,NeuralNetTorch,-0.14997221252970672,-0.15990449431341738,0.009700298309326172,0.007584571838378906,6.393725156784058,0.009700298309326172,0.007584571838378906,6.393725156784058,1,True,10
2,ExtraTreesMSE,-0.16286148392037864,-0.1898706848312509,0.10287213325500488,0.07529568672180176,0.5077016353607178,0.10287213325500488,0.07529568672180176,0.5077016353607178,1,True,7
3,LightGBMXT,-0.16477497002246147,-0.17262751068147741,0.009943962097167969,0.008451700210571289,0.5871565341949463,0.009943962097167969,0.008451700210571289,0.5871565341949463,1,True,3
4,RandomForestMSE,-0.16516779526703898,-0.19333339413719683,0.11200118064880371,0.07229757308959961,0.5755805969238281,0.11200118064880371,0.07229757308959961,0.5755805969238281,1,True,5
5,LightGBM,-0.16839031359959522,-0.18364454793755702,0.008090734481811523,0.005822181701660156,0.5244777202606201,0.008090734481811523,0.005822181701660156,0.5244777202606201,1,True,4
6,XGBoost,-0.16867785072710056,-0.16928901112828307,0.013595819473266602,0.008098125457763672,0.42897582054138184,0.013595819473266602,0.008098125457763672,0.42897582054138184,1,True,9
7,CatBoost,-0.17144480955025157,-0.18771771814914448,0.009595870971679688,0.005941629409790039,0.7177093029022217,0.009595870971679688,0.005941629409790039,0.7177093029022217,1,True,6
8,NeuralNetFastAI,-0.17532806112767696,-0.17825059790136435,0.02590155601501465,0.014583110809326172,2.4568045139312744,0.02590155601501465,0.014583110809326172,2.4568045139312744,1,True,8
9,LightGBMLarge,-0.1782578411835647,-0.19513653804309122,0.014010906219482422,0.008420705795288086,1.1294708251953125,0.014010906219482422,0.008420705795288086,1.1294708251953125,1,True,11
10,KNeighborsDist,-0.37091908159932063,-0.41132196365105644,0.015502691268920898,0.01707005500793457,0.015588998794555664,0.015502691268920898,0.01707005500793457,0.015588998794555664,1,True,2
11,KNeighborsUnif,-0.37290763342912886,-0.396805695524673,0.014490842819213867,0.016868114471435547,0.0358734130859375,0.014490842819213867,0.016868114471435547,0.0358734130859375,1,True,1
