model_id,rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
146,1,0.04,random_forest,13487.306432447605,28.37980031967163,145,11272.108033738938,0,1701532792.1883264,1701532820.5890877,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search
155,2,0.0,extra_trees,13559.399789483534,1.2062807083129883,154,9179.315779406343,0,1701532848.1574993,1701532849.3839378,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
12,3,0.12,adaboost,13777.643679827845,0.8864946365356445,11,6009.447354351032,0,1701531461.070047,1701531461.981638,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Initial design
109,4,0.14,gradient_boosting,13782.549826908682,0.887258768081665,108,9394.210529590708,0,1701532641.884075,1701532642.7931433,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
112,5,0.0,gradient_boosting,13846.058647548653,0.8649368286132812,111,9475.33535905236,0,1701532660.5262177,1701532661.410064,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
13,6,0.0,extra_trees,13885.309220621257,1.1187870502471924,12,12419.824244100295,0,1701531462.1004255,1701531463.2411513,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
137,7,0.0,gradient_boosting,13999.627589352545,0.9894909858703613,136,8701.73873755531,0,1701532758.7669585,1701532759.7751398,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
28,8,0.06,extra_trees,14001.5343001497,15.308403730392456,27,11953.119068030974,0,1701531734.6031175,1701531749.9301274,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search (sorted)
115,9,0.0,gradient_boosting,14027.219047062126,1.8409833908081055,114,8815.313800931048,0,1701532673.5654032,1701532675.4283504,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search
101,10,0.0,gradient_boosting,14040.484704809132,1.040654182434082,100,8699.807291666666,0,1701532594.521929,1701532595.5796962,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
