,basic-subset,location,extension,location-extension
CV - LinReg - Mean MAE,15221,336703539462,15824,317747305877202
CV - LinReg - Mean MAPE,0.18763436185370325,3017624.706601621,0.20250165830614134,5081405728.867952
CV - LinReg - Mean RMSE,21690,5355597399499,21986,2924050649169694
CV - LinReg - Mean R2Score,0.7111,-1.9749712815551405e+17,0.7042,-5.235618350197937e+22
CV - Tree - Mean MAE,15976,15464,15550,14818
CV - Tree - Mean MAPE,0.19425958211464128,0.18477994200895226,0.18933500611185722,0.1813837403418072
CV - Tree - Mean RMSE,23870,23308,22932,22424
CV - Tree - Mean R2Score,0.6517,0.6628,0.6781,0.6908
CV - RandForest - Mean MAE,13892,12801,13145,12202
CV - RandForest - Mean MAPE,0.17045775579266692,0.15914015197856546,0.16318521514929998,0.1541567391969289
CV - RandForest - Mean RMSE,20368,18893,19230,18118
CV - RandForest - Mean R2Score,0.7456,0.7795,0.7732,0.797
CV - SVR - Mean MAE,16180,16854,15717,15213
CV - SVR - Mean MAPE,0.18900659902949568,0.20134019856544344,0.18837521053881479,0.18585996905873942
CV - SVR - Mean RMSE,24122,24144,23070,22283
CV - SVR - Mean R2Score,0.6465,0.6452,0.6757,0.6969
CV - KNN - Mean MAE,14577,13581,13732,13016
CV - KNN - Mean MAPE,0.1807042134309754,0.17016322200465414,0.17257406551349344,0.1650532422752773
CV - KNN - Mean RMSE,21122,20082,19947,19169
CV - KNN - Mean R2Score,0.7272,0.7517,0.7556,0.7734
CV - AdaBoost - Mean MAE,21202,21494,21511,21268
CV - AdaBoost - Mean MAPE,0.2812634054510411,0.29604131048154647,0.29567320731756414,0.286568582055989
CV - AdaBoost - Mean RMSE,28019,27700,27678,27625
CV - AdaBoost - Mean R2Score,0.5229,0.532,0.5331,0.5337
final-model,"RandomForestRegressor(max_depth=10, max_features=3, min_samples_split=8,
                      n_estimators=199)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)","RandomForestRegressor(criterion='absolute_error', max_depth=20, max_features=13,
                      min_samples_split=6, n_estimators=81)","RandomForestRegressor(bootstrap=False, criterion='absolute_error',
                      max_features=23, min_samples_split=8, n_estimators=170)"
Test-MAE,13822.31,11952.08,13065.27,11086.43
Test-MAPE,0.192,0.1663,0.1809,0.155
Test-RMSE,18684.64,16283.19,18261.28,15935.38
Test-N-RMSE,0.0828,0.0722,0.0809,0.0706
Test-IQR-RMSE,0.3619,0.3154,0.3537,0.3087
Test-CV-RMSE,0.2156,0.1879,0.2107,0.1839
Test-R2,0.7804,0.8332,0.7902,0.8403
Training-Duration,360.404,834.412,752.947,1685.596
Test-Duration,4.95911e-05,4.85317e-05,2.0094e-05,4.57256e-05
