,basic-subset,location,extension,location-extension
Test-MAE,16793.76,17373.52,16776.16,17496.28
Test-MAPE,0.203,0.231,0.1979,0.205
Test-RMSE,23907.05,23322.35,23764.15,25787.1
Test-N-RMSE,0.1059,0.1033,0.1053,0.1143
Test-IQR-RMSE,0.4631,0.4518,0.4603,0.4995
Test-CV-RMSE,0.2759,0.2691,0.2742,0.2976
Test-R2,0.6405,0.6578,0.6447,0.5817
Training-Duration,68.216,63.488,63.677,64.372
Test-Duration,0.0014812972,0.0016345597,0.0016433575,0.0017857281
