,1+2
Test-MAE,15236.5
Test-MAPE,0.1891
Test-RMSE,24581.05
Test-N-RMSE,0.0927
Test-IQR-RMSE,0.3984
Test-CV-RMSE,0.2698
Test-R2,0.7033
Training-Duration,147.455
Test-Duration,0.002547573
