,basic-subset,location,extension,location-extension
Test-MAE,14491.92,13943.15,14414.74,13848.72
Test-MAPE,295.8188,314.5982,316.1942,338.0178
Test-RMSE,26030.08,23889.71,25490.16,24554.49
Test-N-RMSE,0.0734,0.0674,0.0719,0.0693
Test-IQR-RMSE,0.5574,0.5115,0.5458,0.5258
Test-CV-RMSE,0.2901,0.2663,0.2841,0.2737
Test-R2,0.6849,0.7346,0.6978,0.7196
Training-Duration,1967.666,1963.762,1980.427,2155.178
Test-Duration,0.0006902006,0.0011200488,0.0007630791,0.0007938979
