,basic-subset,location,extension,location-extension
CV - LinReg - Mean MAE,20104,22421,20858,14454636449317
CV - LinReg - Mean MAPE,161.50378413287655,190.65075108242772,169.11194287228835,205678154.08973676
CV - LinReg - Mean RMSE,40948,42681,41522,233968730301239
CV - LinReg - Mean R2Score,0.5204,0.4796,0.5082,-2.3318709629588164e+20
CV - Tree - Mean MAE,25050,22046,21863,21053
CV - Tree - Mean MAPE,150.27678804247736,159.82494880942025,149.61471388265542,163.08320084340374
CV - Tree - Mean RMSE,58908,49349,52289,48047
CV - Tree - Mean R2Score,-0.1427,0.2401,0.1594,0.2942
CV - RandForest - Mean MAE,21764,19455,19813,17785
CV - RandForest - Mean MAPE,158.4630204116573,178.1278562608664,158.3028282382909,166.08115889857794
CV - RandForest - Mean RMSE,46985,41921,47176,41651
CV - RandForest - Mean R2Score,0.3444,0.4936,0.3278,0.4887
CV - SVR - Mean MAE,26056,26575,23685,27791
CV - SVR - Mean MAPE,168.0753838879885,168.85831582674265,160.86879283596434,162.6070137038625
CV - SVR - Mean RMSE,48532,49273,46128,51163
CV - SVR - Mean R2Score,0.3224,0.3027,0.3893,0.2478
CV - KNN - Mean MAE,21069,19995,19916,19257
CV - KNN - Mean MAPE,145.95414781220725,150.42416467963886,142.05530897340267,155.70914720221685
CV - KNN - Mean RMSE,45072,43228,46270,42617
CV - KNN - Mean R2Score,0.4095,0.4647,0.3709,0.4738
CV - AdaBoost - Mean MAE,35104,34786,35298,37045
CV - AdaBoost - Mean MAPE,183.63532741932386,189.47527427057764,191.91363610135457,184.82153990578408
CV - AdaBoost - Mean RMSE,56350,55094,55302,55975
CV - AdaBoost - Mean R2Score,0.0376,0.0589,0.0522,0.0724
final-model,"KNeighborsRegressor(n_neighbors=9, p=3)","KNeighborsRegressor(n_neighbors=7, p=3)","KNeighborsRegressor(n_neighbors=10, p=1)","KNeighborsRegressor(n_neighbors=10, p=3)"
Test-MAE,16998.18,16291.95,16009.44,16002.03
Test-MAPE,262.0714,264.6228,290.6806,289.9763
Test-RMSE,28132.54,28263.05,27080.3,27148.64
Test-N-RMSE,0.0794,0.0797,0.0764,0.0766
Test-IQR-RMSE,0.6024,0.6052,0.5798,0.5813
Test-CV-RMSE,0.3135,0.315,0.3018,0.3026
Test-R2,0.6319,0.6285,0.6589,0.6572
Training-Duration,10.756,41.168,53.704,77.064
Test-Duration,4.07394e-05,0.0001424559,1.64492e-05,0.000193293
