,basic-subset,location,extension,location-extension
Test-MAE,13374.97,12093.23,14124.64,11541.49
Test-MAPE,0.1634,0.1511,0.1678,0.1506
Test-RMSE,19765.04,17687.96,20746.53,16758.8
Test-N-RMSE,0.0863,0.0772,0.0906,0.0732
Test-IQR-RMSE,0.3614,0.3234,0.3793,0.3064
Test-CV-RMSE,0.2164,0.1937,0.2272,0.1835
Test-R2,0.7591,0.807,0.7345,0.8268
Training-Duration,1800.031,1800.504,1800.384,1801.351
Test-Duration,1.79499e-05,2.46763e-05,0.000304764,3.12472e-05
