,basic-subset,location,extension,location-extension
Test-MAE,13667.68,12223.18,12912.16,11497.35
Test-MAPE,0.1654,0.153,0.1613,0.1479
Test-RMSE,20017.01,18177.11,18401.36,16867.85
Test-N-RMSE,0.0874,0.0794,0.0804,0.0737
Test-IQR-RMSE,0.366,0.3323,0.3364,0.3084
Test-CV-RMSE,0.2192,0.199,0.2015,0.1847
Test-R2,0.7529,0.7962,0.7912,0.8245
Training-Duration,1983.857,1893.012,1986.634,2192.501
Test-Duration,0.000563471,0.0008131409,0.0008100364,0.0010329037
