,R2-Score,MAPE,MAE,RMSE,N-RMSE,IQR-RMSE,CV-RMSE
Feature-Set,extension-location,extension-location,extension-location,extension-location,extension-location,extension-location,extension-location
Method,autogluon,autogluon,autogluon,autogluon,autogluon,autogluon,autogluon
Value,0.8452,0.1429,12011.4,18149.0,0.0658,0.3096,0.1937
