,extension,L,VA,SA,N,location,working_hours,price,const_year
135,F,1,0,0,0,PL,6999,91500,2016
136,E,0,0,0,0,FR,9900,47000,2012
137,D,0,0,0,0,ES,8400,53000,2011
138,D,0,0,0,0,NO,11350,46487,2007
140,D,0,0,0,0,EE,15509,42900,2008
141,D,1,0,0,0,NL,11369,58800,2006
142,F,0,0,0,0,SE,1950,162226,2017
143,D,1,0,0,0,SE,13168,42769,2008
144,D,0,0,0,0,PL,17000,40000,2008
145,NG,0,0,0,0,DE,2833,159000,2019
148,E,1,0,0,0,DE,3530,90000,2015
149,E,1,0,0,0,NL,8409,66800,2012
150,D,0,0,0,0,FR,10000,60000,2012
151,D,1,0,0,0,LU,8028,45000,2008
152,E,1,0,0,0,NO,9151,56545,2013
153,D,0,0,0,0,HU,11034,73250,2007
154,D,1,0,0,0,SE,13187,48879,2008
155,D,1,0,0,0,NL,11272,48900,2007
156,F,1,0,0,0,NL,5993,109000,2017
157,F,1,0,0,0,AT,4232,132500,2017
158,F,1,0,0,0,CH,3040,148245,2017
159,E,0,0,0,0,FR,4595,100000,2013
160,E,1,0,0,0,DE,3734,73110,2015
161,D,0,0,0,0,DK,12465,46784,2008
162,E,1,0,0,0,NL,6561,79800,2014
163,D,1,0,0,0,UA,14000,65000,2008
164,E,0,0,0,0,FI,8316,99500,2012
165,D,1,0,0,0,NL,10611,45000,2010
166,D,1,0,0,0,NL,10522,45800,2008
167,E,0,0,0,0,FR,6857,125000,2015
168,E,1,0,0,1,FR,2895,99000,2016
169,D,1,0,0,0,UA,10150,84000,2011
170,D,1,0,0,0,NL,13171,46900,2008
171,D,1,0,0,0,DE,8100,56500,2011
172,NG,0,0,0,0,NL,4750,135000,2019
173,D,0,0,1,0,IT,12161,58000,2010
174,D,1,0,0,0,ES,8400,53000,2008
175,F,1,0,0,0,PL,6130,129000,2017
176,E,1,0,0,0,NL,8925,69900,2012
177,D,0,0,0,0,FI,13452,76296,2011
178,F,0,0,0,0,FI,6474,124900,2016
179,D,1,0,0,0,FI,14266,54900,2008
180,E,1,0,0,0,PL,10613,54743,2015
181,E,1,0,0,0,PL,15130,35992,2014
182,NG,0,0,0,0,SE,2600,177757,2019
183,D3,0,0,0,0,NL,3719,89800,2019
184,D,1,0,0,0,NL,7997,62800,2011
185,D,1,0,0,0,NL,14201,46900,2008
186,D,0,0,0,0,NL,18565,42800,2008
187,E,1,0,0,0,PL,7615,110347,2015
188,NG,0,0,0,0,BE,4211,168000,2018
189,F,1,0,0,0,BE,6096,119000,2016
190,E,1,0,0,0,AT,11053,69500,2014
191,E,1,0,0,0,BE,12600,65000,2014
192,E,1,0,0,0,PL,10000,68590,2013
194,D,1,1,0,0,DE,10123,41900,2009
195,NG,0,0,0,0,SE,1700,180325,2019
196,E,1,0,0,0,NO,6222,77684,2012
197,F,0,0,0,0,FR,2500,150000,2017
198,F,0,0,0,0,IT,3611,137000,2017
199,E,1,0,0,0,PL,11900,65354,2013
200,D,0,0,1,0,CH,6013,72516,2010
201,D,0,0,1,0,IT,8983,72000,2009
202,D,0,0,0,0,NL,12480,47800,2009
203,E,1,0,0,0,PL,6220,85000,2014
204,D,0,0,0,0,NL,12675,55750,2010
205,F,1,0,0,0,AT,5232,132000,2017
206,D,0,0,1,0,PL,18550,39900,2008
207,D,0,0,0,0,HU,13098,60000,2009
208,D,1,0,0,0,PL,380,61470,2010
209,D,1,0,0,0,NL,9984,46000,2007
210,F,1,0,0,0,EE,6137,92000,2017
211,D,1,0,0,0,NL,8032,45000,2008
212,F,1,0,0,0,PL,5030,97509,2016
213,E,1,0,0,0,PL,11907,62001,2014
214,F,1,0,0,0,NL,3401,119500,2017
215,F,1,0,0,0,NL,969,139500,2017
216,E,1,0,0,0,NL,8685,69800,2013
217,F,1,0,0,0,NL,6980,99500,2016
218,D,0,0,0,0,HR,10253,63500,2011
219,D,1,0,0,0,NL,10329,45000,2008
220,D,0,0,0,0,NO,11400,49530,2008
222,D,1,0,0,0,NL,15600,44900,2007
223,D,1,0,0,0,NL,11200,62000,2011
224,D,1,0,0,0,NL,11895,55000,2009
225,D,0,0,0,0,PL,9833,58650,2011
226,E,1,0,0,0,DE,8307,82000,2015
227,D,1,0,0,0,PL,11757,48306,2010
229,E,1,0,0,0,PL,10338,62274,2012
230,F,0,0,0,0,DK,5100,160032,2017
231,E,1,0,0,0,PT,5000,85000,2015
232,E,0,0,0,0,DK,7200,103281,2012
233,E,1,0,0,0,ES,13700,65000,2014
234,D,0,0,0,0,ES,9722,66000,2011
235,D,1,0,0,0,ES,10390,75000,2012
236,D,0,0,0,0,RO,8400,48500,2008
237,E,0,0,0,0,PL,5500,96291,2014
238,E,1,0,0,0,HU,4500,97000,2014
239,D,1,0,0,0,FI,14000,49000,2008
240,E,0,0,0,0,BE,8280,58500,2013
241,E,0,0,0,0,NL,6494,105000,2013
242,F,1,0,0,0,NO,6333,102685,2016
243,D,0,0,0,0,NO,12510,50853,2008
245,E,1,0,0,0,FI,7270,115000,2015
246,F,0,0,0,0,FI,6444,125001,2016
247,D,0,0,0,0,FI,9568,70074,2011
248,D,0,0,0,0,FI,13428,80296,2011
250,F,0,0,0,0,IT,4703,130000,2017
251,D,0,0,0,0,IT,7861,76500,2008
252,D,0,0,0,0,PL,10450,75262,2009
253,F,1,0,0,0,PL,4830,128000,2017
254,E,1,0,0,0,PL,7600,71000,2012
255,NG,0,0,0,0,AT,3604,135000,2018
