;extension;L;N;LR;GC;location;working_hours;price;const_year
139;NG;0;0;0;0;PL;1668;192000;2019
140;D;1;0;0;0;NO;9886;138252;2007
141;D;0;0;0;0;NO;11833;58068;2008
142;D;1;0;0;0;NL;16000;72000;2007
143;F;0;0;0;0;FI;9052;135000;2016
144;D;1;0;0;0;RO;12446;33800;2007
145;D;0;0;0;0;NL;8651;63800;2007
146;D2;1;0;0;0;NL;9410;119500;2016
147;D;1;0;0;0;NL;15300;61900;2008
148;F;0;0;0;0;FR;2653;220000;2018
149;F;1;0;0;0;PL;9590;130000;2018
150;C;0;0;0;0;NL;12941;54800;2005
151;F;1;0;0;0;NO;4656;354509;2017
152;C;1;0;0;0;BE;12937;59601;2006
153;D;1;0;0;0;NL;14684;63500;2007
154;C;1;0;0;0;NL;11687;49500;2005
155;F;0;0;0;0;FR;6132;180000;2016
156;F;1;0;0;0;NL;4163;169000;2018
157;D;1;0;0;0;NL;9027;64800;2007
158;F;1;0;0;0;NO;3691;208777;2018
159;F;1;0;0;0;NL;2219;189000;2018
161;C;1;0;1;0;RO;15600;41500;2002
162;F;0;0;0;0;IT;5321;211000;2018
163;D;1;0;0;0;FI;14020;59000;2008
164;F;1;1;0;0;GE;1084;249513;2016
165;D;0;0;0;0;NL;14322;59800;2008
166;F;0;0;0;0;IT;3763;185000;2017
169;D;1;0;1;0;NL;15900;85000;2008
171;NG;0;0;0;0;PL;1431;203000;2019
172;C;1;1;0;0;HR;10500;58000;2003
173;C;1;1;0;0;PT;10000;46500;2005
174;D;1;0;0;0;RO;12000;51900;2009
175;D;1;0;0;0;RU;18576;65085;2007
176;D;0;0;0;0;NO;18000;43044;2006
177;D;1;0;0;0;BG;14000;60000;2006
178;D2;1;0;0;0;UA;5000;112000;2016
179;F;1;0;0;0;NL;12275;98800;2016
180;D;1;0;0;0;NL;14973;83500;2006
183;D;0;0;0;0;RU;6850;122907;2018
184;B;1;0;0;0;LV;1458;168000;2002
186;F;1;0;0;0;PL;11053;93710;2016
187;F;0;0;0;0;NL;1151;180000;2018
188;D2;1;0;0;0;TR;4094;123000;2017
189;D;1;0;0;0;NL;14810;59500;2007
190;D;0;0;1;0;NL;13000;92000;2008
195;D;1;0;0;0;NL;13200;67900;2008
197;D;1;1;0;0;PL;12459;54260;2008
198;F;1;1;0;0;PL;4304;182400;2016
199;D2;1;0;0;0;NL;7242;123000;2015
200;C;0;0;0;0;TR;19000;44900;2004
201;D;0;0;0;0;FR;9025;49900;2007
202;F;0;0;0;0;FR;6139;170000;2016
204;C;0;0;0;0;TR;17200;35000;2005
207;F;1;1;0;0;DE;1063;209000;2018
208;D;1;0;0;0;NL;15925;85000;2007
209;C;1;0;0;0;NL;9464;47500;2003
210;D;1;0;0;0;NL;9078;82900;2007
211;D;1;0;0;0;RU;14934;39370;2006
213;F;1;0;0;0;NL;3904;144000;2016
215;C;0;0;0;0;DE;17000;39900;2004
216;D;1;0;0;0;BE;15000;59000;2008
217;D;1;0;1;0;NL;14351;87500;2007
218;D;0;0;0;0;NL;13937;60800;2007
219;;0;0;0;0;CH;12090;64900;2008
220;NG;0;0;0;0;NL;8;197500;2021
222;D;1;0;0;0;TR;1;45000;2007
223;C;1;1;0;0;ES;21;34500;2003
224;F;0;0;0;0;ES;3;173500;2016
225;D;1;0;0;0;NL;14;59500;2007
226;F;1;1;0;0;PL;4;182487;2016
227;NG;0;0;0;0;PL;1;203000;2019
228;D2;1;0;0;0;RU;6;122928;2018
