,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.2101744907570679,-0.19031271263796667,0.1201775074005127,0.07901430130004883,5.7434680461883545,0.0034101009368896484,0.0003020763397216797,0.2132585048675537,2,True,12
1,NeuralNetTorch,-0.21401382034042668,-0.19590969089700058,0.00648045539855957,0.00494074821472168,3.1511011123657227,0.00648045539855957,0.00494074821472168,3.1511011123657227,1,True,10
2,NeuralNetFastAI,-0.21567447760658096,-0.21189547581489307,0.017058372497558594,0.009864568710327148,2.1562914848327637,0.017058372497558594,0.009864568710327148,2.1562914848327637,1,True,8
3,XGBoost,-0.21624742553458864,-0.20029649264810495,0.010851383209228516,0.004507780075073242,0.3498401641845703,0.010851383209228516,0.004507780075073242,0.3498401641845703,1,True,9
4,CatBoost,-0.2163700361999229,-0.1982782246448993,0.0043430328369140625,0.002446889877319336,1.4997401237487793,0.0043430328369140625,0.002446889877319336,1.4997401237487793,1,True,6
5,LightGBMXT,-0.22053329320267667,-0.20568336067428425,0.009320259094238281,0.004368305206298828,0.6740586757659912,0.009320259094238281,0.004368305206298828,0.6740586757659912,1,True,3
6,LightGBM,-0.22322825033657528,-0.20163650166349628,0.006577014923095703,0.003039836883544922,0.6756970882415771,0.006577014923095703,0.003039836883544922,0.6756970882415771,1,True,4
7,RandomForestMSE,-0.22542786579090385,-0.2110713942132848,0.08626842498779297,0.07407903671264648,0.5045461654663086,0.08626842498779297,0.07407903671264648,0.5045461654663086,1,True,5
8,ExtraTreesMSE,-0.22628738339419527,-0.20371696789726482,0.0950925350189209,0.06681680679321289,0.5295281410217285,0.0950925350189209,0.06681680679321289,0.5295281410217285,1,True,7
9,LightGBMLarge,-0.23666363223146117,-0.21598009710976934,0.009566307067871094,0.0038840770721435547,2.0946125984191895,0.009566307067871094,0.0038840770721435547,2.0946125984191895,1,True,11
10,KNeighborsDist,-0.4518835431704414,-0.3876432392436223,0.019952058792114258,0.018372535705566406,0.006217241287231445,0.019952058792114258,0.018372535705566406,0.006217241287231445,1,True,2
11,KNeighborsUnif,-0.45504038528998014,-0.3905902031431702,0.01730060577392578,0.017323970794677734,0.0038022994995117188,0.01730060577392578,0.017323970794677734,0.0038022994995117188,1,True,1
