,basic-subset,extension,location,extension-location
Test-MAE,16260.39,16502.18,14530.6,15975.66
Test-MAPE,0.2223,0.2251,0.1964,0.2254
Test-RMSE,23614.88,23665.99,21523.17,22975.92
Test-N-RMSE,0.0875,0.0877,0.0797,0.0851
Test-IQR-RMSE,0.379,0.3798,0.3454,0.3687
Test-CV-RMSE,0.2572,0.2578,0.2344,0.2503
Test-R2,0.7256,0.7244,0.772,0.7402
Training-Duration,1800.049,1799.675,1799.042,1800.282
Test-Duration,1.86769e-05,2.27596e-05,2.85766e-05,2.47791e-05
