,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,16350,17820,19177,1443186967870
CV - LinReg - Mean MAPE,0.2284622283240135,0.25614002719698126,0.2757542384865968,12934216.821211725
CV - LinReg - Mean RMSE,24347,26043,27168,23360021565793
CV - LinReg - Mean R2Score,0.7266,0.6892,0.6616,-2.529841676999288e+18
CV - Tree - Mean MAE,17380,17060,16513,16329
CV - Tree - Mean MAPE,0.23905323175246845,0.25059074774286494,0.23152907056272368,0.23339346626996305
CV - Tree - Mean RMSE,27199,26139,25777,25290
CV - Tree - Mean R2Score,0.6563,0.6873,0.6921,0.7015
CV - RandForest - Mean MAE,15107,14066,13587,12950
CV - RandForest - Mean MAPE,0.2180464714783225,0.20921953322847758,0.20232319657217693,0.19668821437785208
CV - RandForest - Mean RMSE,23511,21836,21448,20227
CV - RandForest - Mean R2Score,0.7457,0.7807,0.7881,0.8113
CV - SVR - Mean MAE,18178,17485,18777,16943
CV - SVR - Mean MAPE,0.23449627886954003,0.2318955066646934,0.24349395825799153,0.22816181197911595
CV - SVR - Mean RMSE,28856,27752,29011,27011
CV - SVR - Mean R2Score,0.6211,0.6493,0.6175,0.6674
CV - KNN - Mean MAE,16038,14742,14664,14125
CV - KNN - Mean MAPE,0.23175391603329537,0.2193075217819896,0.21605669475732148,0.21310290503058021
CV - KNN - Mean RMSE,24582,22565,22882,22101
CV - KNN - Mean R2Score,0.7227,0.7655,0.7576,0.7746
CV - AdaBoost - Mean MAE,24302,24303,22552,23906
CV - AdaBoost - Mean MAPE,0.3513071345842889,0.3464965463909633,0.3179016109621351,0.3569330686800018
CV - AdaBoost - Mean RMSE,32963,33266,30961,32443
CV - AdaBoost - Mean R2Score,0.4974,0.4912,0.561,0.5163
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=10, max_features=10,
                      min_samples_split=5, n_estimators=197)","RandomForestRegressor(criterion='absolute_error', max_depth=20, max_features=13,
                      min_samples_split=6, n_estimators=81)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)","RandomForestRegressor(bootstrap=False, max_features=18, min_samples_split=10,
                      n_estimators=142)"
Test-MAE,16199.74,15234.21,14720.01,13535.91
Test-MAPE,0.2172,0.2115,0.2045,0.191
Test-RMSE,24008.89,21651.94,21658.36,19979.19
Test-N-RMSE,0.0889,0.0802,0.0802,0.074
Test-IQR-RMSE,0.3853,0.3475,0.3476,0.3206
Test-CV-RMSE,0.2615,0.2358,0.2359,0.2176
Test-R2,0.7163,0.7693,0.7691,0.8036
Training-Duration,386.579,800.846,870.182,1158.333
Test-Duration,3.7494e-05,1.9334e-05,4.85964e-05,3.53138e-05
