,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,15119,15936,17040,2707260698455
CV - LinReg - Mean MAPE,0.1905730055600702,0.20695396616197836,0.22439605754555267,38522164.79377016
CV - LinReg - Mean RMSE,21696,22208,23045,43146635379493
CV - LinReg - Mean R2Score,0.7184,0.7058,0.683,-1.0742881000215986e+19
CV - Tree - Mean MAE,16249,15478,14912,14816
CV - Tree - Mean MAPE,0.20109404993975705,0.19414355999922114,0.18327689017359053,0.1852071534666841
CV - Tree - Mean RMSE,24214,23278,22866,22380
CV - Tree - Mean R2Score,0.6499,0.6752,0.6862,0.7003
CV - RandForest - Mean MAE,14042,13283,12592,12232
CV - RandForest - Mean MAPE,0.17654577530012872,0.16973256820426688,0.16171363950332637,0.15755672393692838
CV - RandForest - Mean RMSE,20716,19572,18764,18286
CV - RandForest - Mean R2Score,0.7437,0.7707,0.7878,0.7993
CV - SVR - Mean MAE,16524,15878,16969,15157
CV - SVR - Mean MAPE,0.1971151197715449,0.19302125040336568,0.20633882655304103,0.18806431200235255
CV - SVR - Mean RMSE,24596,23345,24431,22285
CV - SVR - Mean R2Score,0.6397,0.6759,0.6445,0.7043
CV - KNN - Mean MAE,14399,13775,13375,12879
CV - KNN - Mean MAPE,0.1832911972412303,0.17754863638225138,0.17165812131125932,0.16713450537291255
CV - KNN - Mean RMSE,20890,20145,19669,19064
CV - KNN - Mean R2Score,0.7392,0.7578,0.7675,0.7822
CV - AdaBoost - Mean MAE,21197,21016,21127,21562
CV - AdaBoost - Mean MAPE,0.2850701134514962,0.2787153016785707,0.2879496618733685,0.3170073704346066
CV - AdaBoost - Mean RMSE,27758,27738,27524,27122
CV - AdaBoost - Mean R2Score,0.5408,0.5409,0.5475,0.5615
final-model,"RandomForestRegressor(criterion='absolute_error', max_depth=15, max_features=6,
                      min_samples_split=9, n_estimators=78)","RandomForestRegressor(criterion='absolute_error', max_depth=20, max_features=13,
                      min_samples_split=6, n_estimators=81)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)","RandomForestRegressor(bootstrap=False, criterion='poisson', max_depth=20,
                      max_features=8, min_samples_split=5, n_estimators=54)"
Test-MAE,13559.15,12446.55,12883.81,11439.09
Test-MAPE,0.1695,0.1642,0.1613,0.1484
Test-RMSE,19105.45,17318.02,18201.01,15903.36
Test-N-RMSE,0.0986,0.0894,0.0939,0.0821
Test-IQR-RMSE,0.3554,0.3222,0.3386,0.2959
Test-CV-RMSE,0.2148,0.1947,0.2046,0.1788
Test-R2,0.737,0.7839,0.7614,0.8178
Training-Duration,354.296,738.32,840.053,1637.34
Test-Duration,1.70977e-05,1.96467e-05,4.96367e-05,1.48082e-05
