,basic-subset,location,extension,location-extension
Test-MAE,23936.92,22449.78,21282.63,19539.29
Test-MAPE,0.2501,0.2173,0.2192,0.1937
Test-RMSE,69471.74,68664.71,67075.72,65211.03
Test-N-RMSE,0.0702,0.0694,0.0678,0.0659
Test-IQR-RMSE,1.1968,1.1829,1.1555,1.1234
Test-CV-RMSE,0.7178,0.7095,0.6931,0.6738
Test-R2,0.2829,0.2995,0.3316,0.3682
Training-Duration,65.232,65.622,65.848,66.153
Test-Duration,0.0014194111,0.0015935579,0.001591293,0.0017302265
