,basic-subset,location,extension,location-extension
CV - LinReg - Mean MAE,19141,21668,17496502003851,54574411240
CV - LinReg - Mean MAPE,204.8888942809746,218.55724269800353,233286870.70577174,776767.0063023332
CV - LinReg - Mean RMSE,35349,37010,283745579680988,883363719159
CV - LinReg - Mean R2Score,0.5755,0.5379,-2.9101497470903114e+20,-2512909431244776.0
CV - Tree - Mean MAE,22546,20649,21265,20994
CV - Tree - Mean MAPE,183.6205758872506,139.38294893111475,242.68273865279352,220.4595213282881
CV - Tree - Mean RMSE,46237,42099,45724,44790
CV - Tree - Mean R2Score,0.2074,0.3532,0.2267,0.2752
CV - RandForest - Mean MAE,19413,18338,18696,17294
CV - RandForest - Mean MAPE,200.32790826272662,198.394814693799,202.70341282232692,189.55307804264265
CV - RandForest - Mean RMSE,36508,35760,37569,33939
CV - RandForest - Mean R2Score,0.5476,0.5651,0.5028,0.6111
CV - SVR - Mean MAE,26751,26439,22808,25595
CV - SVR - Mean MAPE,192.40403531747165,201.3359910121352,198.90630800240513,191.1537416416151
CV - SVR - Mean RMSE,44638,44560,40360,44118
CV - SVR - Mean R2Score,0.3064,0.3183,0.4394,0.3302
CV - KNN - Mean MAE,20515,19802,19150,19215
CV - KNN - Mean MAPE,174.51789988308485,181.61807842045732,182.60822050544184,187.47191587386004
CV - KNN - Mean RMSE,38775,38859,37680,40722
CV - KNN - Mean R2Score,0.479,0.4822,0.5109,0.4028
CV - AdaBoost - Mean MAE,31877,34449,31369,33708
CV - AdaBoost - Mean MAPE,233.5749564960989,236.9766045393801,254.69785214817472,250.01033753092688
CV - AdaBoost - Mean RMSE,48505,52511,47207,49849
CV - AdaBoost - Mean R2Score,0.1783,-0.0376,0.2073,0.086
final-model,KNeighborsRegressor(n_neighbors=9),DecisionTreeRegressor(max_depth=5),KNeighborsRegressor(n_neighbors=9),KNeighborsRegressor(n_neighbors=10)
Test-MAE,20610.59,23531.9,19706.23,19050.47
Test-MAPE,0.1984,0.2387,0.191,0.1824
Test-RMSE,65521.4,63488.07,63123.8,63819.32
Test-N-RMSE,0.0662,0.0641,0.0638,0.0645
Test-IQR-RMSE,1.1287,1.0937,1.0874,1.0994
Test-CV-RMSE,0.677,0.656,0.6523,0.6594
Test-R2,0.3622,0.4011,0.408,0.3949
Training-Duration,11.501,60.919,25.515,73.9
Test-Duration,8.294e-06,4.63e-07,1.28942e-05,2.09621e-05
