,location-extension
Test-MAE,15780.46
Test-MAPE,0.2154
Test-RMSE,22670.93
Test-N-RMSE,0.1005
Test-IQR-RMSE,0.4391
Test-CV-RMSE,0.2616
Test-R2,0.6767
Training-Duration,148.294
Test-Duration,0.0026325165
