,location-extension
Test-MAE,11264.88
Test-MAPE,0.1547
Test-RMSE,16149.6
Test-N-RMSE,0.0716
Test-IQR-RMSE,0.3128
Test-CV-RMSE,0.1864
Test-R2,0.8359
Training-Duration,12.878
Test-Duration,0.0002277844
