,extension,LGP,XL,3B,4F,location,working_hours,price,const_year
137,R,0,0,0,0,HU,19662,77000,2006
138,R,0,0,0,0,RO,9500,49000,2011
139,T,1,0,0,0,DE,13500,95900,2014
140,N,0,1,0,0,DE,3975,139950,2012
141,T,1,0,0,0,GB,14324,90000,2014
142,N,1,0,0,0,GB,14874,75000,2013
143,N,1,0,0,0,LT,9316,72500,2011
144,N,1,0,0,0,DE,13537,79500,2015
145,T,0,0,0,0,BE,11700,69000,2012
146,M,0,1,0,0,UA,18000,65000,2002
147,N,1,0,0,0,NL,10400,154000,2016
148,N,1,0,0,0,DE,4661,179900,2017
149,R,1,0,0,0,LV,11000,73500,2007
150,R,1,0,0,0,SE,15700,75913,2007
151,R,0,0,0,0,RU,11000,100399,2007
152,N,1,0,0,0,PL,17400,43110,2007
153,N,1,0,0,0,PL,7176,154700,2017
154,,1,0,0,0,NO,5625,65037,2006
155,N,1,0,0,0,PL,19083,59264,2007
156,N,1,0,0,0,FR,5874,160000,2012
157,N,1,0,0,0,BE,8956,94000,2012
158,T,0,1,0,0,DE,13752,86000,2011
159,R,0,0,0,0,HU,14200,60500,2007
160,N,0,0,0,0,DE,3540,179000,2017
161,N,1,0,0,0,BE,9223,84900,2011
162,N,1,0,0,0,FR,5487,165000,2014
163,N,1,0,0,0,RO,5060,138000,2006
164,T,1,0,0,0,UA,2200,235000,2017
165,N,0,0,0,0,GE,14500,53500,2006
166,N,1,0,0,0,BE,12010,99000,2013
167,T,1,0,0,0,NO,8865,175173,2016
169,N,0,0,0,0,NL,13873,43000,2003
170,K,1,0,0,0,DE,2923,79900,2013
171,K,1,0,0,0,DE,3614,78900,2013
172,N,0,1,0,0,UA,13302,73110,2008
173,T,1,0,0,0,UK,8321,155666,2016
174,K,1,0,0,0,PL,2800,118475,2018
175,N,1,0,0,0,BE,1107,280000,2019
176,N,0,1,0,0,NL,16600,49500,2005
177,R,0,0,0,0,TR,19000,68000,2004
178,T,1,0,0,0,UA,12370,159000,2013
179,T,1,0,0,0,GE,7803,154186,2013
180,N,1,0,0,0,NL,10472,97500,2012
181,K,1,0,0,0,NL,7335,89500,2016
183,N,1,0,0,1,FR,2443,290000,2019
186,T,0,0,0,0,FR,4273,110000,2012
187,R,0,0,0,0,DE,17097,55000,2007
188,K,0,0,0,0,DE,6440,81500,2015
189,N,1,0,0,0,NL,5583,112000,2014
191,R,1,0,0,0,DE,9980,65000,2003
193,N,1,0,0,1,FR,1910,290000,2019
194,T,0,0,0,0,UK,8684,112674,2014
196,T,1,0,0,0,NL,8195,129500,2015
197,N,1,0,0,0,DE,12100,61900,2007
198,R,0,0,0,0,ES,11000,91500,2007
199,T,1,0,0,0,ES,12580,65000,2012
200,T,1,0,0,0,ES,10200,72000,2014
201,N,0,0,0,0,UA,16500,101000,2013
202,N,1,0,0,0,DE,11400,53000,2008
203,R,1,0,0,0,NL,6980,71500,2007
204,N,1,0,0,0,FR,2467,220000,2019
205,N,0,0,0,0,LT,7000,59000,2009
206,N,1,0,0,0,LT,4600,72000,2013
207,N,0,0,0,0,HU,23006,54640,2005
208,N,1,0,0,0,PL,13976,80000,2012
209,R,0,0,0,0,ES,10500,70000,2008
210,R,0,1,0,0,RO,21000,31900,2002
211,N,0,1,0,0,PL,20342,71000,2010
212,T,1,0,0,0,NL,10065,67500,2008
213,N,0,1,0,0,NL,17901,59000,2010
214,N,1,0,0,0,NL,8795,59500,2005
215,T,0,1,0,0,RU,11000,162607,2011
216,N,0,1,0,0,ES,9751,158000,2013
217,K,0,0,0,0,IT,3041,159000,2017
218,K,0,1,0,0,LT,14418,46000,2008
219,K,1,0,0,0,EE,8940,68000,2012
220,M,0,0,0,0,NO,1100,453434,2018
221,N,1,0,0,0,NL,18282,49500,2008
222,M,1,0,0,0,FR,17459,42000,2002
223,K,0,0,0,0,NL,8963,52800,2010
224,T,1,0,0,0,NO,12475,104047,2013
225,R,0,1,0,0,PL,7500,92107,2008
226,N,0,1,0,0,IT,18629,15000,2006
227,N,0,1,0,0,IT,16409,15000,2003
228,N,0,1,0,0,PL,20629,43000,2010
229,N,1,0,0,0,PL,3564,219489,2018
230,T,1,0,0,0,NL,10865,89500,2011
231,N,1,0,0,0,FR,4820,152000,2014
232,K,1,0,0,0,LT,4592,110400,2017
233,T,1,0,0,0,DE,4756,175000,2016
234,N,0,1,0,0,HU,11500,103000,2013
235,N,0,1,0,0,NL,11506,43500,2007
236,R,1,0,0,0,NL,13332,59800,2005
237,R,0,1,0,0,NL,13074,62900,2007
238,,1,0,0,0,DE,2900,307000,2020
239,M,0,0,0,0,GB,12000,486803,2015
240,T,1,0,0,0,SE,3239,293449,2018
241,N,0,1,0,0,NL,16640,47900,2005
242,N,0,1,0,0,PL,13215,94990,2013
243,N,1,0,0,0,PL,16000,57586,2007
244,,0,0,0,0,BE,715,155000,2018
245,N,1,0,0,0,NL,7053,165000,2017
246,N,1,0,0,0,NL,12769,78000,2014
247,R,0,1,0,0,NL,16496,57900,2008
248,R,1,0,0,0,PL,11600,52000,2008
249,N,1,0,0,1,FR,1891,267000,2019
250,N,1,0,1,0,FR,7946,110000,2013
251,N,1,0,0,1,FR,4956,205000,2018
252,K,1,0,0,0,LT,2300,139500,2018
253,N,1,0,0,0,NL,13183,79500,2014
254,N,0,0,0,0,DE,2438,235000,2019
255,R,0,1,0,0,DE,13200,78900,2004
256,T,0,0,0,0,DE,5040,198000,2016
257,N,0,0,0,0,PL,17700,35000,2006
258,N,1,0,0,0,LV,20824,42000,2003
259,K,1,0,0,0,RU,3621,119591,2013
260,R,1,0,0,0,DE,8600,71500,2005
261,T,1,0,0,1,FR,3900,225000,2016
263,T,0,0,0,0,NL,13834,75900,2008
265,R,1,0,0,0,NL,11456,74500,2008
266,T,1,0,0,0,NL,8766,129500,2015
267,N,1,0,0,0,SE,4300,214838,2017
268,N,1,0,1,0,FR,8026,127000,2014
269,N,0,1,0,0,PL,16694,53470,2006
270,R,0,1,0,0,FR,9450,64500,2002
271,T,0,1,0,0,FI,10300,129000,2011
272,T,1,0,0,0,NL,12311,93500,2012
273,T,0,1,0,0,ES,9400,125000,2015
274,R,1,0,0,0,ES,15000,75000,2007
275,K,0,1,0,0,CZ,9650,88702,2011
276,N,0,1,0,0,FR,7883,83900,2011
277,N,1,0,0,0,NL,15202,47800,2005
278,T,0,1,1,0,FR,6345,215000,2015
279,T,0,1,1,0,FR,4443,230000,2014
280,T,1,0,0,0,GB,7500,135000,2013
281,N,1,0,0,0,PL,3537,184000,2019
283,N,1,0,0,0,FR,10189,84500,2012
285,R,0,0,0,0,NL,13026,72800,2014
286,N,1,0,0,0,PL,3800,975000,2017
287,R,0,0,0,0,GR,23890,74000,2003
288,N,1,0,0,0,NL,11407,92500,2013
290,T,1,0,0,0,PL,12900,87000,2015
291,R,0,0,0,0,NL,26569,47900,2004
292,K,1,0,0,0,PL,6400,92000,2015
293,N,1,0,0,0,PL,10000,71000,2008
294,N,1,0,0,0,BG,8700,160000,2012
295,T,0,1,0,0,FR,2884,275000,2018
296,N,1,0,1,0,FR,9246,150000,2014
297,N,1,0,0,0,CH,2384,221732,2019
298,T,0,0,0,0,NO,320,391188,2020
299,R,0,0,0,0,PL,17167,48051,2002
300,N,0,0,0,0,PL,17270,58991,2007
301,N,0,1,0,0,RU,9509,150474,2012
302,T,0,0,0,0,PL,6100,774000,2018
303,N,1,0,0,0,DK,12500,23585,2008
304,T,1,0,0,0,FR,4993,150000,2010
305,T,0,0,0,0,FR,3535,280000,2018
306,N,1,0,0,0,NL,13576,92500,2015
307,N,1,0,0,0,NL,10462,109000,2016
309,K,0,0,0,0,DE,6775,89000,2011
310,T,1,0,0,0,NL,8903,76900,2011
311,K,0,0,0,0,NL,15593,52800,2010
312,N,1,0,0,0,FR,8176,87000,2012
313,N,1,0,0,0,FR,8892,88000,2011
