,basic-subset,location,extension,location-extension
CV - LinReg - Mean MAE,19250,21608,20118,2041765583632
CV - LinReg - Mean MAPE,200.52228897703583,222.11126502258298,210.85322327894374,29052919.328826077
CV - LinReg - Mean RMSE,36633,38496,37251,33111873131606
CV - LinReg - Mean R2Score,0.5798,0.537,0.5676,-1.8157479516139233e+18
CV - Tree - Mean MAE,22400,22045,22183,21011
CV - Tree - Mean MAPE,180.0257245701305,201.7881167049403,186.34765771964788,172.66060862913793
CV - Tree - Mean RMSE,44400,47170,47026,47424
CV - Tree - Mean R2Score,0.3577,0.1756,0.2459,0.2172
CV - RandForest - Mean MAE,19943,18678,19037,18589
CV - RandForest - Mean MAPE,191.6393732225536,200.86944433133738,186.5693915556813,198.03197819136705
CV - RandForest - Mean RMSE,39751,38949,37738,40347
CV - RandForest - Mean R2Score,0.4971,0.5057,0.5497,0.4703
CV - SVR - Mean MAE,26805,27009,23665,27275
CV - SVR - Mean MAPE,191.95837366565917,194.06347897838944,195.29775508630993,195.8575862743395
CV - SVR - Mean RMSE,45884,47166,42627,47712
CV - SVR - Mean R2Score,0.322,0.2794,0.4203,0.2665
CV - KNN - Mean MAE,21054,19155,19509,18867
CV - KNN - Mean MAPE,172.03199072195727,169.1373753277853,180.68146399349718,189.27456694230153
CV - KNN - Mean RMSE,42867,40489,42155,42288
CV - KNN - Mean R2Score,0.3962,0.4641,0.4162,0.3765
CV - AdaBoost - Mean MAE,33261,32036,31658,38490
CV - AdaBoost - Mean MAPE,229.51780045733912,209.91744774343547,234.27984154805182,232.7462178372904
CV - AdaBoost - Mean RMSE,52324,48732,52512,54811
CV - AdaBoost - Mean R2Score,0.0808,0.2314,0.0716,-0.0925
final-model,"KNeighborsRegressor(n_neighbors=10, p=1)","KNeighborsRegressor(n_neighbors=8, p=3)","KNeighborsRegressor(n_neighbors=10, p=3, weights='distance')","DecisionTreeRegressor(criterion='poisson', max_depth=5)"
Test-MAE,20816.71,22535.6,19798.17,24235.67
Test-MAPE,0.1948,0.2106,0.1867,0.2333
Test-RMSE,47800.94,48993.67,48467.49,51642.86
Test-N-RMSE,0.0635,0.0651,0.0644,0.0686
Test-IQR-RMSE,0.8193,0.8398,0.8308,0.8852
Test-CV-RMSE,0.4705,0.4822,0.477,0.5083
Test-R2,0.5143,0.4897,0.5006,0.433
Training-Duration,13.611,36.119,54.701,200.351
Test-Duration,9.6902e-06,0.0001510929,9.45126e-05,4.94e-07
