,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.13237579828394486,-0.20216682713742345,0.03464937210083008,0.017053842544555664,9.701165914535522,0.002894163131713867,0.00030350685119628906,0.21041178703308105,2,True,12
1,NeuralNetTorch,-0.13339473632322757,-0.21381510362830924,0.00640559196472168,0.004889726638793945,6.275866746902466,0.00640559196472168,0.004889726638793945,6.275866746902466,1,True,10
2,XGBoost,-0.13532611737435699,-0.20525531492115812,0.011019706726074219,0.004491567611694336,0.3573777675628662,0.011019706726074219,0.004491567611694336,0.3573777675628662,1,True,9
3,CatBoost,-0.13720990939931413,-0.21820136755839872,0.004649639129638672,0.0023698806762695312,1.2459330558776855,0.004649639129638672,0.0023698806762695312,1.2459330558776855,1,True,6
4,LightGBMXT,-0.13998756836078816,-0.2131428340445362,0.011696338653564453,0.00538182258605957,0.8553814888000488,0.011696338653564453,0.00538182258605957,0.8553814888000488,1,True,3
5,LightGBM,-0.1425137210663942,-0.21184584741700857,0.006472587585449219,0.0034971237182617188,0.7657155990600586,0.006472587585449219,0.0034971237182617188,0.7657155990600586,1,True,4
6,NeuralNetFastAI,-0.14261314743463505,-0.21575022619326512,0.018232107162475586,0.009702205657958984,2.183807134628296,0.018232107162475586,0.009702205657958984,2.183807134628296,1,True,8
7,LightGBMLarge,-0.1540986995971178,-0.22155851880234895,0.007857322692871094,0.003871917724609375,2.091794013977051,0.007857322692871094,0.003871917724609375,2.091794013977051,1,True,11
8,ExtraTreesMSE,-0.1600631711191193,-0.22524124845433116,0.09266924858093262,0.06902599334716797,0.5237607955932617,0.09266924858093262,0.06902599334716797,0.5237607955932617,1,True,7
9,RandomForestMSE,-0.16157013290535543,-0.22631806980943167,0.08953118324279785,0.06547260284423828,0.5135250091552734,0.08953118324279785,0.06547260284423828,0.5135250091552734,1,True,5
10,KNeighborsDist,-0.34699252639261013,-0.39344537294070564,0.0185697078704834,0.018435001373291016,0.006434440612792969,0.0185697078704834,0.018435001373291016,0.006434440612792969,1,True,2
11,KNeighborsUnif,-0.350357369275697,-0.40038163377532404,0.01736283302307129,0.016715526580810547,0.003829479217529297,0.01736283302307129,0.016715526580810547,0.003829479217529297,1,True,1
