,basic-subset,extension,location,extension-location
Test-MAE,12064.14,11567.05,10662.22,10080.66
Test-MAPE,0.1371,0.1361,0.1219,0.1181
Test-RMSE,17104.73,16499.98,15578.97,14980.17
Test-N-RMSE,0.0792,0.0764,0.0721,0.0694
Test-IQR-RMSE,0.3321,0.3204,0.3025,0.2909
Test-CV-RMSE,0.1903,0.1836,0.1733,0.1667
Test-R2,0.8216,0.834,0.852,0.8632
Training-Duration,2746.044,2366.91,2056.344,1801.559
Test-Duration,0.0014157549,0.0005963406,0.0007959977,0.0007541958
