feature_name,feature_importance_vals,feature_importance_percentage
const_year,7783.737327549985,0.36716801587767456
extension,6934.145778434251,0.3270917863919795
model,4859.23122723292,0.22921563425310634
location,888.2605934070605,0.04190029364290644
working_hours,441.6531582352018,0.020833297295551154
L,176.65795622541944,0.008333162919914297
N,41.71581846214976,0.0019677840670764123
LR,37.47426282745047,0.0017677049147243494
3B,25.452609923824145,0.001200629452327688
GC,10.155297406068104,0.0004790372853457234
LGP,0.9042365743126091,4.265389939345355e-05
RR,0.0,0.0
VA,0.0,0.0
SA,0.0,0.0
XL,0.0,0.0
4F,0.0,0.0
