,basic-subset,extension,location,extension-location
Test-MAE,13809.66,12871.87,11360.73,11350.78
Test-MAPE,0.1778,0.1681,0.1539,0.1546
Test-RMSE,19106.83,18063.95,16203.86,16038.04
Test-N-RMSE,0.0923,0.0872,0.0783,0.0775
Test-IQR-RMSE,0.3747,0.3543,0.3178,0.3145
Test-CV-RMSE,0.2175,0.2057,0.1845,0.1826
Test-R2,0.7639,0.789,0.8302,0.8336
Training-Duration,13.12,16.434,28.373,21.533
Test-Duration,0.0001076502,0.0004509721,0.0001774781,0.0004549534
