,basic-subset,extension,location,extension-location
CV - LinReg - Mean MAE,15188,15826,984506365783,6422042852015
CV - LinReg - Mean MAPE,0.19014244848167733,0.20486820165419814,8823402.016285248,59400535.236702286
CV - LinReg - Mean RMSE,21699,22007,15659532131925,102148844605327
CV - LinReg - Mean R2Score,0.7143,0.7068,-1.457160700651882e+18,-5.5629339286644195e+19
CV - Tree - Mean MAE,16391,15988,15475,15299
CV - Tree - Mean MAPE,0.20401340942966306,0.19979337712426354,0.19103331589830772,0.1881989269531073
CV - Tree - Mean RMSE,24153,23960,22944,23184
CV - Tree - Mean R2Score,0.6472,0.6526,0.6803,0.6751
CV - RandForest - Mean MAE,14154,13261,12765,12193
CV - RandForest - Mean MAPE,0.1792489524063932,0.16890110883382475,0.1638637877729388,0.158455359736912
CV - RandForest - Mean RMSE,20736,19411,18991,18178
CV - RandForest - Mean R2Score,0.7394,0.7708,0.7815,0.7996
CV - SVR - Mean MAE,16495,15698,17221,16043
CV - SVR - Mean MAPE,0.19580886166069306,0.19131458132627757,0.20646979424873008,0.1945322581463333
CV - SVR - Mean RMSE,24398,22837,24620,23664
CV - SVR - Mean R2Score,0.6409,0.6848,0.6341,0.6614
CV - KNN - Mean MAE,14474,13858,13531,12914
CV - KNN - Mean MAPE,0.18396257991387563,0.17805521035325972,0.17223092752191815,0.16674738783865345
CV - KNN - Mean RMSE,21006,20041,20112,19050
CV - KNN - Mean R2Score,0.7327,0.7558,0.7553,0.7799
CV - AdaBoost - Mean MAE,20986,21111,21075,20911
CV - AdaBoost - Mean MAPE,0.2878921244965591,0.29800883973031356,0.28720178610397795,0.28124346813618495
CV - AdaBoost - Mean RMSE,27245,27042,27412,27224
CV - AdaBoost - Mean R2Score,0.5509,0.5578,0.5459,0.5503
final-model,"RandomForestRegressor(max_depth=10, max_features=3, min_samples_split=8,
                      n_estimators=199)","RandomForestRegressor(max_features=8, min_samples_split=9, n_estimators=46)","RandomForestRegressor(max_features=15, min_samples_split=3, n_estimators=168)","RandomForestRegressor(max_depth=20, max_features=21, min_samples_split=6,
                      n_estimators=104)"
Test-MAE,14110.29,13605.78,11792.75,11483.08
Test-MAPE,0.1944,0.1845,0.1614,0.1562
Test-RMSE,19129.93,18617.74,16707.68,16493.04
Test-N-RMSE,0.0924,0.0899,0.0807,0.0797
Test-IQR-RMSE,0.3752,0.3651,0.3277,0.3235
Test-CV-RMSE,0.2178,0.212,0.1902,0.1878
Test-R2,0.7633,0.7758,0.8195,0.8241
Training-Duration,354.642,735.253,838.293,1632.422
Test-Duration,3.61695e-05,1.04913e-05,4.81005e-05,2.52817e-05
