,basic-subset,extension,location,extension-location
Test-MAE,14140.86,13913.02,11954.39,10994.13
Test-MAPE,0.1889,0.1786,0.1654,0.1516
Test-RMSE,19294.29,19669.69,16358.1,15248.77
Test-N-RMSE,0.0932,0.095,0.079,0.0736
Test-IQR-RMSE,0.3784,0.3858,0.3208,0.299
Test-CV-RMSE,0.2197,0.2239,0.1862,0.1736
Test-R2,0.7592,0.7498,0.8269,0.8496
Training-Duration,1800.185,1800.247,1801.189,1801.281
Test-Duration,2.04507e-05,2.30023e-05,2.67443e-05,3.03147e-05
