,location-extension
CV - LinReg - Mean MAE,991606329
CV - LinReg - Mean MAPE,14109.745079958773
CV - LinReg - Mean RMSE,15741038585
CV - LinReg - Mean R2Score,-1460463016561.5981
CV - Tree - Mean MAE,15353
CV - Tree - Mean MAPE,0.18261521401337694
CV - Tree - Mean RMSE,23510
CV - Tree - Mean R2Score,0.6775
CV - RandForest - Mean MAE,12248
CV - RandForest - Mean MAPE,0.1532941336196603
CV - RandForest - Mean RMSE,18402
CV - RandForest - Mean R2Score,0.8032
CV - SVR - Mean MAE,16217
CV - SVR - Mean MAPE,0.1897539450358741
CV - SVR - Mean RMSE,23919
CV - SVR - Mean R2Score,0.6649
CV - KNN - Mean MAE,13055
CV - KNN - Mean MAPE,0.1636797563060346
CV - KNN - Mean RMSE,19396
CV - KNN - Mean R2Score,0.7814
CV - AdaBoost - Mean MAE,21929
CV - AdaBoost - Mean MAPE,0.2988383603042085
CV - AdaBoost - Mean RMSE,28049
CV - AdaBoost - Mean R2Score,0.5446
final-model,"RandomForestRegressor(bootstrap=False, criterion='absolute_error',
                      max_features=23, min_samples_split=8, n_estimators=170)"
Test-MAE,12620.11
Test-MAPE,0.1503
Test-RMSE,18421.38
Test-N-RMSE,0.0865
Test-IQR-RMSE,0.3655
Test-CV-RMSE,0.2034
Test-R2,0.7755
Training-Duration,1650.21
Test-Duration,4.5521e-05
