feature_name,feature_importance_vals,feature_importance_percentage
extension,7675.9172260788855,0.36717246118172986
const_year,7131.505881358595,0.34113090191933065
model,4504.818336369376,0.21548502765529054
location,908.7754155968412,0.04347067538358476
working_hours,409.51860676334417,0.01958905370085928
L,145.58827437444626,0.006964119524328628
N,40.90243375259238,0.0019565410656380705
LR,31.705515688973687,0.0015166125279471299
XE,19.289790626612653,0.0009227144706550856
3B,18.747252921502078,0.0008967625357133511
GC,18.0698716918487,0.0008643604493014332
LGP,0.6432530139918462,3.0769585621313815e-05
SA,0.0,0.0
VA,0.0,0.0
XL,0.0,0.0
RR,0.0,0.0
4F,0.0,0.0
