,1+2,3
Test-MAE,15727.96,16487.49
Test-MAPE,0.204,0.1893
Test-RMSE,23964.96,23316.37
Test-N-RMSE,0.0904,0.1095
Test-IQR-RMSE,0.3884,0.4626
Test-CV-RMSE,0.2631,0.2575
Test-R2,0.718,0.6404
Training-Duration,146.695,139.135
Test-Duration,0.0024829009,0.0022071672
