,1+2,3
Test-MAE,14097.06,15279.6
Test-MAPE,0.1703,0.185
Test-RMSE,20379.74,20739.55
Test-N-RMSE,0.0769,0.0974
Test-IQR-RMSE,0.3303,0.4115
Test-CV-RMSE,0.2237,0.229
Test-R2,0.7961,0.7155
Training-Duration,1800.848,1802.904
Test-Duration,0.000310829,5.36374E-05
