,location-extension
CV - LinReg - Mean MAE,1993697917
CV - LinReg - Mean MAPE,28368.71042597036
CV - LinReg - Mean RMSE,31648746576
CV - LinReg - Mean R2Score,-5903877805496.428
CV - Tree - Mean MAE,15384
CV - Tree - Mean MAPE,0.18468021025044523
CV - Tree - Mean RMSE,23461
CV - Tree - Mean R2Score,0.6763
CV - RandForest - Mean MAE,12148
CV - RandForest - Mean MAPE,0.1512994795470845
CV - RandForest - Mean RMSE,18552
CV - RandForest - Mean R2Score,0.7996
CV - SVR - Mean MAE,15240
CV - SVR - Mean MAPE,0.18000556023146835
CV - SVR - Mean RMSE,22669
CV - SVR - Mean R2Score,0.7026
CV - KNN - Mean MAE,13092
CV - KNN - Mean MAPE,0.1643849141784425
CV - KNN - Mean RMSE,19512
CV - KNN - Mean R2Score,0.7788
CV - AdaBoost - Mean MAE,22083
CV - AdaBoost - Mean MAPE,0.30130161394532456
CV - AdaBoost - Mean RMSE,28244
CV - AdaBoost - Mean R2Score,0.5389
final-model,"RandomForestRegressor(max_depth=20, max_features=21, min_samples_split=6,
                      n_estimators=104)"
Test-MAE,12412.46
Test-MAPE,0.1478
Test-RMSE,17612.33
Test-N-RMSE,0.0827
Test-IQR-RMSE,0.3495
Test-CV-RMSE,0.1945
Test-R2,0.7948
Training-Duration,1604.616
Test-Duration,3.19023e-05
