,basic-subset,extension,location,extension-location
Test-MAE,16371.63,14463.23,14338.46,12718.21
Test-MAPE,0.2102,0.1957,0.1986,0.1757
Test-RMSE,24302.55,21111.34,21344.58,19052.13
Test-N-RMSE,0.09,0.0782,0.0791,0.0706
Test-IQR-RMSE,0.39,0.3388,0.3425,0.3057
Test-CV-RMSE,0.2647,0.2299,0.2325,0.2075
Test-R2,0.7093,0.7807,0.7758,0.8214
Training-Duration,12.591,18.396,18.884,21.855
Test-Duration,0.0004183673,0.0007353493,0.0004954207,0.0003990742
