,basic-subset,extension,location,extension-location
Test-MAE,19832.85,19895.98,21115.97,19491.25
Test-MAPE,0.2732,0.2702,0.3037,0.2527
Test-RMSE,29610.07,29372.71,30674.93,30978.67
Test-N-RMSE,0.1097,0.1088,0.1136,0.1147
Test-IQR-RMSE,0.4752,0.4714,0.4923,0.4971
Test-CV-RMSE,0.3225,0.3199,0.3341,0.3374
Test-R2,0.5685,0.5754,0.5369,0.5277
Training-Duration,65.202,65.804,65.728,65.945
Test-Duration,0.0014392592,0.0015901266,0.0015992029,0.0017522684
