,basic-subset,location,extension,location-extension
Test-MAE,87836.84,87816.43,87904.2,87881.71
Test-MAPE,0.8945,0.8943,0.8948,0.8945
Test-RMSE,118784.62,118763.96,118727.62,118710.44
Test-N-RMSE,0.12,0.12,0.1199,0.1199
Test-IQR-RMSE,2.0462,2.0459,2.0453,2.045
Test-CV-RMSE,1.2274,1.2272,1.2268,1.2266
Test-R2,-1.0963,-1.0956,-1.0943,-1.0937
Training-Duration,9.25,10.925,10.359,18.158
Test-Duration,4.80389e-05,5.02924e-05,5.11285e-05,5.41267e-05
