model_id,rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
90,1,0.44,extra_trees,16072.539495525403,30.082057237625122,89,15164.96991432025,0,1701086306.712575,1701086336.817684,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search (sorted)
127,2,0.12,random_forest,16618.007309559034,27.085694789886475,126,13076.208245564918,0,1701086709.5263603,1701086736.6365507,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
59,3,0.0,extra_trees,16790.161730477772,1.2257230281829834,58,15683.505656063353,0,1701086108.7363193,1701086109.9884267,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
78,4,0.22,k_nearest_neighbors,16790.694536662817,0.5349328517913818,77,19438.34810953498,0,1701086190.0197673,1701086190.5759933,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
128,5,0.0,extra_trees,16861.13595193418,1.061436653137207,127,17952.633672408276,0,1701086741.8188741,1701086742.9036875,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
126,6,0.06,random_forest,16887.584868468533,15.148804187774658,125,10225.405044573023,0,1701086689.2445529,1701086704.4155273,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
96,7,0.0,random_forest,16897.290194681005,1.3892321586608887,95,16235.714470456485,0,1701086367.1362658,1701086368.5482738,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
85,8,0.0,random_forest,16920.22053171911,1.5113425254821777,84,15503.608701738482,0,1701086286.30094,1701086287.83682,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
7,9,0.0,extra_trees,16957.67236666426,1.0890846252441406,6,17541.78778263652,0,1701085093.8599498,1701085094.9729056,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
48,10,0.0,random_forest,16981.032007794456,7.311805486679077,47,16775.399786245023,0,1701085883.7344108,1701085891.068182,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search (sorted)
58,11,0.0,extra_trees,17013.328481343822,5.241457223892212,57,16259.974118316268,0,1701086099.1954448,1701086104.4584913,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search (sorted)
94,12,0.0,random_forest,17021.191446846133,1.5405409336090088,93,15035.117944085965,0,1701086349.3585927,1701086350.9207008,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
76,13,0.0,random_forest,17033.422664369227,1.2503080368041992,75,15001.94909098585,0,1701086187.4424891,1701086188.7140439,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
119,14,0.0,random_forest,17072.3092929056,5.663626194000244,118,17021.476171430604,0,1701086637.3292184,1701086643.0170896,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
92,15,0.0,random_forest,17072.47771272373,1.3771038055419922,91,14551.933473762798,0,1701086342.5584607,1701086343.956515,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
79,16,0.0,random_forest,17097.074444284066,1.1942713260650635,78,16021.560098033988,0,1701086195.3080394,1701086196.5237522,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
80,17,0.0,random_forest,17133.945479395206,3.816920757293701,79,16156.856528636945,0,1701086201.555014,1701086205.3952172,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search (sorted)
146,18,0.0,extra_trees,17155.15963752165,1.0753538608551025,145,18167.26296750569,0,1701086810.4216025,1701086811.5198543,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
121,19,0.0,random_forest,17193.26308097575,1.39754056930542,120,13095.058348220635,0,1701086649.1224241,1701086650.5428307,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
147,20,0.0,random_forest,17216.923386078233,1.320328950881958,146,18096.114361134812,0,1701086812.3496885,1701086813.6938362,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
5,21,0.02,adaboost,17321.135936146795,0.8543603420257568,4,8093.65306645069,0,1701085081.5587587,1701085082.4366395,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Initial design
