,extension,location,working_hours,price,const_year
141,H,DE,11636,61900,2010
151,M,DE,11700,75900,2015
73,K,NL,11778,69800,2012
181,H,RO,11900,66000,2011
229,K,UK,11910,54875,2014
188,H,DE,11978,85000,2011
3,G,DE,12000,42500,2005
14,K,ES,12000,99000,2015
103,H,RO,12000,39900,2010
0,M,ES,12091,107000,2016
289,H,DE,12133,50900,2010
52,K,PL,12200,65822,2013
76,M,BE,12406,65000,2015
81,M,NL,12406,74900,2015
70,H,FR,12490,59500,2008
58,G,PL,12500,41736,2004
186,H,DE,12500,55500,2008
149,H,DE,12582,59000,2008
75,G,AT,12600,41500,2003
207,H,DE,12600,53900,2007
254,H,IT,12600,57000,2010
144,M,NO,12643,82942,2016
219,H,NL,12871,59800,2010
187,H,DE,12960,58950,2010
190,H,DE,13100,57600,2008
50,H,HU,13179,44500,2011
94,H,NL,13200,49900,2010
132,G,BE,13200,35750,2003
211,G,PL,13226,38227,2004
178,H,NL,13242,55900,2009
64,G,LV,13338,45000,2003
32,G,DE,13394,44850,2002
25,H,NL,13400,46900,2007
283,K,LU,13500,57450,2012
27,H,NL,13633,55900,2009
66,M,NL,13653,79000,2016
53,M,NL,13756,77500,2016
77,H,FR,13834,54000,2009
202,H,NL,13838,51800,2011
80,H,NL,13900,46900,2008
67,K,NL,13936,69800,2013
122,H,NL,13988,37800,2009
74,H,FR,14000,64000,2007
208,M,DE,14000,165000,2017
277,H,DE,14082,39900,2007
159,H,NL,14155,56800,2011
2,K,NL,14270,30000,2012
39,K,RO,14270,25000,2012
120,G,RO,14283,21700,2002
152,H,DE,14324,49500,2010
121,G,NL,14638,41800,2004
1,G,NL,14667,43750,2003
86,K,NL,14669,59900,2013
109,G,FR,14823,13824,2002
170,M,BE,14900,60900,2015
180,M,DE,14956,62500,2015
17,G,DE,15000,56000,2003
57,K,NL,15078,54800,2014
87,H,NL,15245,51800,2010
209,K,DE,15500,58500,2015
68,G,PL,15707,50000,2003
214,M,IT,15810,70000,2016
33,K,GB,15915,53745,2014
5,K,GB,15917,42448,2014
252,H,ES,16000,64000,2011
185,G,DE,16056,58000,2005
278,H,DE,16071,38900,2007
96,H,AT,16100,39850,2006
36,H,FR,16110,46900,2006
160,G,NL,16578,39500,2004
210,H,FR,16821,47900,2007
263,K,NL,17120,59500,2013
12,G,RO,17188,36000,2004
256,G,HU,17500,32722,2005
20,H,IT,17900,46000,2006
30,G,GB,18000,31803,2002
183,H,TR,18000,50000,2010
233,K,ES,18495,58000,2013
111,K,ES,18586,60000,2014
93,H,BE,18772,61600,2007
137,H,ES,19000,47000,2007
265,G,ES,19000,35000,2005
140,H,NL,19062,55000,2009
47,H,NL,19736,51800,2007
261,G,BE,20000,35900,2003
245,G,ES,20209,40000,2003
264,H,NL,21406,39900,2010
48,G,NL,21569,42800,2003
116,H,PL,22000,38915,2006
246,H,ES,22964,44500,2006
