,1+2,3
Test-MAE,14997.14,15854.46
Test-MAPE,0.1911,0.1844
Test-RMSE,24473.94,22430.7
Test-N-RMSE,0.0923,0.1053
Test-IQR-RMSE,0.3967,0.4451
Test-CV-RMSE,0.2687,0.2477
Test-R2,0.7059,0.6672
Training-Duration,146.68,138.849
Test-Duration,0.0025011838,0.0023226195
