,basic-subset,extension,location,extension-location
Test-MAE,14911.92,13204.07,12625.52,11703.58
Test-MAPE,0.1782,0.1585,0.1528,0.1436
Test-RMSE,21636.18,19379.98,18829.99,17543.6
Test-N-RMSE,0.0816,0.0731,0.071,0.0662
Test-IQR-RMSE,0.3507,0.3141,0.3052,0.2843
Test-CV-RMSE,0.2375,0.2127,0.2067,0.1926
Test-R2,0.7701,0.8156,0.8259,0.8489
Training-Duration,2006.061,1822.096,1907.029,1800.104
Test-Duration,0.0019729277,0.0008570189,0.0017655273,0.0007672498
