,model,score_test,score_val,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
0,WeightedEnsemble_L2,-0.15970782795376115,-0.18786640247092753,0.12864255905151367,0.07932305335998535,6.263143301010132,0.002977609634399414,0.0003037452697753906,0.21224069595336914,2,True,12
1,NeuralNetTorch,-0.16326289929674198,-0.19225758316311523,0.006119966506958008,0.004868268966674805,3.0756113529205322,0.006119966506958008,0.004868268966674805,3.0756113529205322,1,True,10
2,XGBoost,-0.1646737312986157,-0.1935268579568566,0.010814905166625977,0.004553556442260742,0.35862016677856445,0.010814905166625977,0.004553556442260742,0.35862016677856445,1,True,9
3,LightGBMXT,-0.16635308331721135,-0.19891885615454885,0.007498025894165039,0.003609180450439453,0.5712437629699707,0.007498025894165039,0.003609180450439453,0.5712437629699707,1,True,3
4,CatBoost,-0.1692858751069777,-0.1977596858542124,0.00516057014465332,0.002727508544921875,1.4197146892547607,0.00516057014465332,0.002727508544921875,1.4197146892547607,1,True,6
5,NeuralNetFastAI,-0.1725013860730159,-0.20072453198469026,0.017450332641601562,0.009795665740966797,2.2074477672576904,0.017450332641601562,0.009795665740966797,2.2074477672576904,1,True,8
6,LightGBM,-0.17615647081483338,-0.199507624142522,0.0062100887298583984,0.0035545825958251953,0.7540159225463867,0.0062100887298583984,0.0035545825958251953,0.7540159225463867,1,True,4
7,LightGBMLarge,-0.18376207866890973,-0.20583919284623908,0.008582115173339844,0.0037195682525634766,2.0811667442321777,0.008582115173339844,0.0037195682525634766,2.0811667442321777,1,True,11
8,RandomForestMSE,-0.18643645918483528,-0.20917477833124848,0.09082865715026855,0.06778931617736816,0.5038106441497803,0.09082865715026855,0.06778931617736816,0.5038106441497803,1,True,5
9,ExtraTreesMSE,-0.18684620386551523,-0.2050792710176678,0.10014796257019043,0.06587791442871094,0.5355043411254883,0.10014796257019043,0.06587791442871094,0.5355043411254883,1,True,7
10,KNeighborsUnif,-0.3720776133400163,-0.40030490222798093,0.01758432388305664,0.018378734588623047,0.005918979644775391,0.01758432388305664,0.018378734588623047,0.005918979644775391,1,True,1
11,KNeighborsDist,-0.3810198170519171,-0.40082629412948584,0.019974470138549805,0.01845526695251465,0.0051059722900390625,0.019974470138549805,0.01845526695251465,0.0051059722900390625,1,True,2
