model_id,rank,ensemble_weight,type,cost,duration,config_id,train_loss,seed,start_time,end_time,budget,status,data_preprocessors,feature_preprocessors,balancing_strategy,config_origin
62,1,0.4,gradient_boosting,12918.565272760115,1.5508379936218262,61,9680.776142255203,0,1702189938.143265,1702189939.7147553,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search
97,2,0.0,extra_trees,13353.774151011561,2.169016122817993,96,7502.956563568985,0,1702190123.204291,1702190125.3952928,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
92,3,0.16,extra_trees,13392.952339234103,8.08086609840393,91,5830.02118038234,0,1702190100.634582,1702190108.737704,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
136,4,0.0,extra_trees,13469.260409140174,1.5228142738342285,135,7092.431196328036,0,1702190301.0247977,1702190302.5706291,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
104,5,0.0,extra_trees,13529.377140534682,1.5997543334960938,103,5390.673275815992,0,1702190149.1821456,1702190150.8078713,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
165,6,0.0,extra_trees,13574.79675307081,1.380854845046997,164,9139.36221003777,0,1702190521.6097753,1702190523.0157743,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
168,7,0.02,extra_trees,13687.89178558526,1.4381024837493896,167,7574.826819947263,0,1702190702.5959256,1702190704.0599308,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
145,8,0.0,extra_trees,13722.017070086706,1.3677542209625244,144,10333.15925652081,0,1702190438.0283406,1702190439.4181726,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
160,9,0.0,extra_trees,13731.858909862716,1.2469632625579834,159,9508.925502868444,0,1702190498.999518,1702190500.2700562,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
132,10,0.12,gradient_boosting,13752.210099801301,33.06865453720093,131,4528.261893016855,0,1702190253.7905092,1702190286.8873682,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
2,11,0.0,random_forest,13767.881177745665,3.2608282566070557,1,5112.019368675171,0,1702188938.4657128,1702188941.7520628,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
86,12,0.0,extra_trees,13841.357157695087,1.2346293926239014,85,10952.366997087016,0,1702190089.3887098,1702190090.644549,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
76,13,0.0,gradient_boosting,13855.64290101156,0.9518535137176514,75,8550.485691188,0,1702190001.9694774,1702190002.9422457,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
127,14,0.0,extra_trees,13871.41875,1.2233788967132568,126,11464.19561983324,0,1702190239.874268,1702190241.1189883,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
147,15,0.0,extra_trees,13958.048789739885,1.1614904403686523,146,10695.528339242446,0,1702190452.0047047,1702190453.188052,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
126,16,0.0,random_forest,14021.132735729769,11.027876853942871,125,10628.631955084806,0,1702190223.729935,1702190234.7793677,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
106,17,0.0,extra_trees,14104.527985007226,6.74540114402771,105,13229.378042153648,0,1702190156.9837797,1702190163.7519357,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
134,18,0.0,extra_trees,14130.853242413295,1.5075688362121582,133,10434.611973970212,0,1702190292.711384,1702190294.2410014,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
146,19,0.0,extra_trees,14214.35322434971,2.03635311126709,145,5374.5759836890675,0,1702190444.732238,1702190446.790573,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
21,20,0.0,adaboost,14246.866553016618,1.0798537731170654,20,5308.375928124109,0,1702189183.0834758,1702189184.186507,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Initial design
18,21,0.0,extra_trees,14258.283571170521,1.3029589653015137,17,12701.916592431586,0,1702189180.1040637,1702189181.4333758,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Initial design
156,22,0.0,extra_trees,14277.73089324422,7.381134033203125,155,11714.141656125284,0,1702190474.6927686,1702190482.0958583,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
164,23,0.0,adaboost,14329.184894328035,2.312047004699707,163,9185.769943254703,0,1702190514.3185277,1702190516.6526706,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search
50,24,0.0,random_forest,14506.047425939307,91.13793087005615,49,11766.451145150371,0,1702189773.8397357,1702189865.0034523,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
29,25,0.0,adaboost,14605.256033236994,0.9204418659210205,28,7313.912024747006,0,1702189695.576813,1702189696.5187836,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
122,26,0.0,extra_trees,14628.362346459538,1.2626173496246338,121,13224.572517281928,0,1702190206.5407605,1702190207.8245153,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
24,27,0.14,mlp,14642.682999909683,7.447516679763794,23,9624.34818573172,0,1702189497.8166144,1702189505.2941782,0.0,StatusType.SUCCESS,[],['polynomial'],,Initial design
163,28,0.0,random_forest,14742.199225523844,1.987070083618164,162,7391.107049957241,0,1702190511.471127,1702190513.4789152,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
15,29,0.0,gradient_boosting,14833.49714369581,4.0108959674835205,14,4582.121774114524,0,1702189174.5859404,1702189178.6263666,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Initial design
73,30,0.06,gradient_boosting,14837.919973807804,1.2965774536132812,72,11469.822462719141,0,1702189989.4721172,1702189990.7914743,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
108,31,0.0,extra_trees,14954.290548229768,1.5090537071228027,107,14349.717807956813,0,1702190169.814834,1702190171.3445,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
52,32,0.0,random_forest,15023.084555635838,7.594388484954834,51,13364.886106310576,0,1702189874.337918,1702189881.9504857,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
159,33,0.0,extra_trees,15256.15027998555,3.9321720600128174,158,8769.165870866591,0,1702190490.0305173,1702190493.9913206,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
13,34,0.0,extra_trees,15402.795131864163,7.173051118850708,12,15737.197628634549,0,1702188986.0726972,1702188993.27069,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Initial design
98,35,0.0,extra_trees,15417.024783236995,1.5150344371795654,97,15379.244590489596,0,1702190130.3878791,1702190131.9257686,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
64,36,0.0,gradient_boosting,15493.816234645954,1.6704778671264648,63,7043.967753394028,0,1702189945.4910638,1702189947.182337,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Local Search
68,37,0.0,random_forest,15787.391993316474,1.1212995052337646,67,15043.856564459806,0,1702189954.2954316,1702189955.4376104,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
100,38,0.0,extra_trees,15896.433340859827,2.632293939590454,99,14426.512740967075,0,1702190138.9643855,1702190141.6185827,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
59,39,0.0,gradient_boosting,15938.037761921965,19.205016136169434,58,170.34226901011974,0,1702189906.3963652,1702189925.6253388,0.0,StatusType.SUCCESS,[],['pca'],,Local Search
34,40,0.0,random_forest,15947.532938945087,1.4039306640625,33,12118.002169149087,0,1702189706.5563972,1702189707.9824882,0.0,StatusType.SUCCESS,[],['fast_ica'],,Random Search
94,41,0.02,gradient_boosting,16096.794192557803,1.0273241996765137,93,8925.821021816206,0,1702190115.4361851,1702190116.485549,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
43,42,0.0,decision_tree,16126.34161849711,0.7080690860748291,42,12422.09692132269,0,1702189733.6560915,1702189734.3844829,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
112,43,0.0,extra_trees,16136.346870484103,5.559254884719849,111,16904.948924779077,0,1702190183.8523016,1702190189.4358728,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
46,44,0.0,random_forest,16142.098825867051,7.064571142196655,45,13113.093899212514,0,1702189747.8766913,1702189754.9676764,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
9,45,0.0,random_forest,16161.588852510838,25.051215410232544,8,9051.836082258409,0,1702188958.8838458,1702188983.9686902,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Initial design
38,46,0.0,gradient_boosting,16230.42599349711,1.4748632907867432,37,2581.382308629383,0,1702189719.0120056,1702189720.5070314,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search (sorted)
99,47,0.04,gradient_boosting,16259.690667901012,1.3803067207336426,98,7757.904505104404,0,1702190136.7916076,1702190138.1922388,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
55,48,0.04,random_forest,16453.343013908958,5.872431039810181,54,12102.661835447549,0,1702189888.442681,1702189894.3374457,0.0,StatusType.SUCCESS,[],['polynomial'],,Local Search
49,49,0.0,gradient_boosting,16534.208706647398,2.147136688232422,48,10861.529889270952,0,1702189767.3596075,1702189769.5274503,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
123,50,0.0,random_forest,16583.00027095376,4.651291847229004,122,153.4207525655644,0,1702190212.4869878,1702190217.165783,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
36,51,0.0,gradient_boosting,16647.246570177023,1.2605013847351074,35,8476.173520235,0,1702189709.1511781,1702189710.4335115,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search
110,52,0.0,decision_tree,16849.832238981213,0.49574708938598633,109,14555.090427237743,0,1702190176.7389677,1702190177.2549822,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
74,53,0.0,ard_regression,17227.777183435694,0.7717647552490234,73,16946.16662013055,0,1702189995.68293,1702189996.477178,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
65,54,0.0,decision_tree,17501.98512463873,0.6619291305541992,64,14854.157546144526,0,1702189947.762525,1702189948.445006,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
142,55,0.0,ard_regression,17754.07650040643,0.8933324813842773,141,18329.29422981845,0,1702190313.5295026,1702190314.4432092,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Local Search
161,56,0.0,extra_trees,17911.39071531792,1.0023243427276611,160,17673.661949027224,0,1702190501.1085286,1702190502.132253,0.0,StatusType.SUCCESS,[],['fast_ica'],,Random Search
157,57,0.0,gradient_boosting,17911.813186416184,0.8622157573699951,156,16580.11827318807,0,1702190482.9368167,1702190483.821899,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search
28,58,0.0,mlp,18323.090911194908,1.3992931842803955,27,18374.343670939637,0,1702189691.0190938,1702189692.4405453,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Local Search
83,59,0.0,random_forest,18460.78374954841,23.939735651016235,82,14246.66552010583,0,1702190020.1352754,1702190044.1059072,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
71,60,0.0,random_forest,18755.404655888728,2.0559768676757812,70,15253.302268921037,0,1702189981.5161388,1702189983.5993817,0.0,StatusType.SUCCESS,[],['fast_ica'],,Local Search
35,61,0.0,decision_tree,18890.017155888727,0.5503158569335938,34,18502.03457276226,0,1702189708.273535,1702189708.8452284,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search
139,62,0.0,ard_regression,19745.230322547868,1.649472951889038,138,19853.004332173783,0,1702190305.0342622,1702190306.7069292,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Random Search
44,63,0.0,adaboost,19769.780039739886,0.8939642906188965,43,16536.76224990201,0,1702189738.348834,1702189739.2639806,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
135,64,0.0,decision_tree,20187.694797687862,1.0895159244537354,134,16315.801596351197,0,1702190295.0528011,1702190296.1629915,0.0,StatusType.SUCCESS,[],['random_trees_embedding'],,Random Search
80,65,0.0,decision_tree,20639.66647398844,0.6444354057312012,79,16956.04789053592,0,1702190012.4196064,1702190013.0890465,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search
79,66,0.0,liblinear_svr,21014.131047913655,5.468733549118042,78,20220.489766137223,0,1702190006.242664,1702190011.737092,0.0,StatusType.SUCCESS,[],['kitchen_sinks'],,Random Search
81,67,0.0,decision_tree,21032.671576950866,0.6207506656646729,80,20739.823688711516,0,1702190018.152676,1702190018.7940207,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
111,68,0.0,ard_regression,21051.245330563583,0.5338668823242188,110,22243.865204866554,0,1702190178.0508804,1702190178.6054926,0.0,StatusType.SUCCESS,[],['polynomial'],,Random Search
130,69,0.0,extra_trees,21130.449566473988,1.0030739307403564,129,21342.954507999573,0,1702190247.5869763,1702190248.6100502,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Random Search
117,70,0.0,adaboost,21420.442494580926,0.6293783187866211,116,22128.578158405788,0,1702190197.7398949,1702190198.3902981,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
105,71,0.0,decision_tree,21515.175298049133,0.5333349704742432,104,20532.712086659067,0,1702190151.5873065,1702190152.1399884,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
128,72,0.0,ard_regression,22628.478687229046,0.5254981517791748,127,24103.56094579577,0,1702190246.1269896,1702190246.673459,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
113,73,0.0,sgd,22737.216022398843,0.5218982696533203,112,22471.44335046679,0,1702190190.2237935,1702190190.7650316,0.0,StatusType.SUCCESS,[],['pca'],,Random Search
153,74,0.0,adaboost,22967.964929552025,0.6784141063690186,152,23830.791202697405,0,1702190467.910848,1702190468.6141381,0.0,StatusType.SUCCESS,[],['feature_agglomeration'],,Local Search
78,75,0.0,adaboost,23034.441546242775,1.2922627925872803,77,23552.213839349344,0,1702190004.2603712,1702190005.5740395,0.0,StatusType.SUCCESS,[],['select_rates_regression'],,Random Search
152,76,0.0,gradient_boosting,23141.7330382948,2.206758499145508,151,4758.245918926383,0,1702190461.28582,1702190463.522322,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Local Search
70,77,0.0,gaussian_process,24186.024616148843,20.21375298500061,69,24700.782163091506,0,1702189956.6769056,1702189976.9201248,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Random Search
93,78,0.0,ard_regression,24209.638777998556,0.6133701801300049,92,25570.25719783352,0,1702190109.5028007,1702190110.1380239,0.0,StatusType.SUCCESS,[],['extra_trees_preproc_for_regression'],,Random Search
48,79,0.0,gradient_boosting,25120.51541275289,2.741156578063965,47,17478.526820392675,0,1702189760.2560332,1702189763.0214539,0.0,StatusType.SUCCESS,[],['no_preprocessing'],,Random Search (sorted)
33,80,0.0,adaboost,25696.360978143064,0.9723796844482422,32,26004.08977248432,0,1702189705.2875636,1702189706.2821853,0.0,StatusType.SUCCESS,[],['select_percentile_regression'],,Local Search
8,81,0.0,random_forest,25702.187919978325,3.0619003772735596,7,10933.98791267282,0,1702188955.7000701,1702188958.7906005,0.0,StatusType.SUCCESS,[],['fast_ica'],,Initial design
