,basic-subset,location,extension,location-extension
Test-MAE,14712.37,13383.24,12619.09,12121.46
Test-MAPE,0.2007,0.1843,0.174,0.1733
Test-RMSE,21164.28,21737.85,18459.41,18847.39
Test-N-RMSE,0.066,0.0678,0.0575,0.0588
Test-IQR-RMSE,0.4046,0.4156,0.3529,0.3603
Test-CV-RMSE,0.243,0.2496,0.212,0.2164
Test-R2,0.7572,0.7439,0.8153,0.8075
Training-Duration,1920.243,1887.808,1814.248,1834.387
Test-Duration,0.0008015469,0.0007771507,0.0008892891,0.0006880319
