,basic-subset,location,extension,location-extension
Test-MAE,78077.07,78219.38,78186.54,78282.01
Test-MAPE,0.8876,0.8888,0.8884,0.8891
Test-RMSE,87774.78,87975.4,87886.69,88047.79
Test-N-RMSE,0.2736,0.2742,0.274,0.2745
Test-IQR-RMSE,1.6782,1.682,1.6803,1.6834
Test-CV-RMSE,1.0079,1.0102,1.0092,1.011
Test-R2,-3.1753,-3.1945,-3.186,-3.2014
Training-Duration,9.236,59.135,11.447,14.112
Test-Duration,4.9133e-05,5.19516e-05,5.26881e-05,5.57034e-05
