,1+2,3
Test-MAE,15236.5,16875.34
Test-MAPE,0.1891,0.1961
Test-RMSE,24581.05,23336.71
Test-N-RMSE,0.0927,0.1096
Test-IQR-RMSE,0.3984,0.463
Test-CV-RMSE,0.2698,0.2577
Test-R2,0.7033,0.6398
Training-Duration,147.455,139.936
Test-Duration,0.002547573,0.002442483
