,1+2,3
Test-MAE,11599.49,12082.48
Test-MAPE,0.1411,0.1438
Test-RMSE,17128.93,16846.99
Test-N-RMSE,0.0646,0.0791
Test-IQR-RMSE,0.2776,0.3343
Test-CV-RMSE,0.188,0.186
Test-R2,0.8559,0.8123
Training-Duration,16.207,13.491
Test-Duration,0.0010415058,0.0006545659
