,working_hours,location,model,extension,const_year,price
0,8973,FI,308,D,2011,44900
1,4183,PL,308,E2,2016,49040
2,4655,PL,308,E2,2017,57943
3,3175,GB,308,E2,2015,45335
4,2500,GB,308,E2,2018,51222
5,6000,IT,308,D,2010,38000
6,3018,FR,308,E2,2017,59500
7,8055,FI,308,D,2011,42900
8,3071,DE,308,E2,2017,41176
9,5541,DE,308,C,2008,39900
10,7099,DE,308,E,2012,46500
11,3400,DE,308,E2,2014,50000
12,4209,DE,308,E,2014,47000
13,2000,GB,308,E2,2019,64554
14,4500,GB,308,E,2014,38132
15,6390,FR,308,D,2010,30000
16,2956,FR,308,E2,2017,60000
17,4223,SE,308,E2,2016,65460
18,4257,FI,308,E2,2017,69900
19,6800,SE,308,E2,2014,54654
20,2568,DE,308,E2,2016,61890
21,3900,GB,308,E2,2017,45300
22,3275,GB,308,E2,2015,44704
23,2023,CH,308,E2,2018,70743
24,1680,SE,308,E2,2017,77353
25,2600,ES,308,E,2018,80000
26,4500,SE,308,E2,2015,63164
27,1800,FR,308,E,2020,80000
28,3245,AT,308,D,2012,55500
29,5900,DE,308,E,2012,39500
30,2155,DE,308,E,2018,77900
31,1972,GB,308,E2,2019,82694
32,2885,BE,308,E,2013,41000
33,750,NL,308,E,2020,91000
34,736,GB,308,E2,2018,64783
35,2653,IT,308,E2,2018,63000
36,7998,FI,308,C,2005,38500
37,4080,IE,308,E2,2016,72526
38,3400,DE,308,D,2011,50500
39,1933,GB,308,E,2017,90822
40,7748,NL,308,E,2012,39900
41,5200,RO,308,E2,2014,51000
42,9333,NL,308,E2,2013,42950
43,3704,FI,308,E2,2013,56000
44,5300,GB,308,E2,2014,36946
45,5162,GB,308,E2,2013,35242
46,7729,FI,308,D,2011,44500
47,4750,FI,308,D,2010,49900
48,5100,PL,308,D,2010,36000
49,1490,GE,308,E2,2017,84843
50,6550,FR,308,E,2012,41900
51,5200,NL,308,D,2011,34500
52,5041,BE,308,C,2004,28950
53,6300,PL,308,D,2012,36060
54,5369,DE,308,D,2011,43500
55,5600,IT,308,D,2010,44000
56,570,FR,308,E2,2016,64000
57,9075,SE,308,D,2012,57143
58,5135,PL,308,E2,2015,50598
59,2662,FI,308,E2,2018,69000
60,7480,SE,308,E,2012,52523
61,4100,SE,308,E,2017,62679
62,6560,FR,308,C,2006,25900
63,447,DE,308,E2,2019,84200
64,4377,NO,308,E2,2014,61495
65,7501,NL,308,D,2011,33800
66,4484,ES,308,E,2013,48000
67,1486,GE,308,E2,2017,85206
68,6500,FR,308,E,2012,38900
69,4700,NL,308,E2,2015,41900
70,2222,IT,308,E2,2017,59900
71,5600,PL,308,D,2011,32500
72,4579,SK,308,E2,2017,56000
73,9804,EE,308,D,2011,45000
74,1735,DE,308,E,2017,67000
75,5000,BE,308,E2,2015,40000
76,1095,DE,308,D,2019,69900
77,2940,DE,308,E,2015,49900
78,4700,LT,308,D,2011,31500
79,6192,DE,308,D,2012,33900
80,6200,FR,308,E2,2012,32800
81,1600,NL,308,E2,2019,58500
82,750,PL,308,E,2020,70200
83,2594,FR,308,E2,2017,76000
84,7454,FI,308,E,2012,42500
85,3200,SE,308,E,2013,53095
86,2700,AT,308,C,2007,42500
87,4885,BE,308,C,2008,26000
88,3755,FR,308,E2,2016,50000
89,4700,NL,308,E2,2014,41900
90,5138,IT,308,D,2009,32000
91,4750,DE,308,E2,2015,44000
92,3700,ES,308,D,2012,35750
93,7989,ES,308,D,2010,27250
94,3015,FI,308,E2,2016,55800
95,8060,SE,308,E,2013,46361
96,4090,PL,308,E2,2017,53936
97,4277,FR,308,E2,2017,50000
98,478,PL,308,E2,2017,50930
