index,working_hours,location,extension,model,const_year,price
184,4114,PL,E2,308,2015,44603
185,8600,SE,D,308,2012,46826
186,2851,PL,E2,308,2016,50219
187,10625,NL,E,308,2013,34500
188,4900,UA,C,308,2007,28500
189,785,DE,E2,308,2017,74500
190,1625,GE,D,308,2009,54663
191,9035,NO,D,308,2010,48067
192,3540,FR,E2,308,2016,61000
193,7000,PL,D,308,2010,33180
194,4724,LV,E2,308,2016,49000
195,4000,DE,E,308,2012,42000
197,7698,FI,D,308,2011,43000
198,8110,FI,D,308,2011,52900
199,3250,FR,E2,308,2015,51900
200,1646,IT,E2,308,2017,59000
201,4134,FI,E2,308,2014,59900
202,7700,SE,E,308,2013,46664
203,5338,FI,E2,308,2017,58500
204,1450,BE,E2,308,2017,52450
205,1403,PL,E2,308,2018,56000
206,5664,LT,E,308,2013,39900
207,3500,DE,E2,308,2017,49900
208,1600,PL,E2,308,2017,53150
209,1427,LT,E2,308,2019,69000
210,7681,UA,E,308,2013,50900
211,4430,FR,E,308,2012,41500
212,4484,FR,D,308,2012,38000
213,2580,NL,E2,308,2016,52500
215,1737,PL,E2,308,2018,63119
216,2210,BE,E2,308,2018,67000
217,2281,FR,E2,308,2016,65000
218,2525,DE,E,308,2016,59000
219,4393,ES,E,308,2012,42500
220,1287,FR,E2,308,2017,68000
221,5336,ES,D,308,2011,44500
222,1829,FR,E2,308,2018,72000
223,1,FI,E2,308,2015,49700
224,7,DE,E2,308,2020,74500
225,7,DE,E2,308,2018,74500
226,29,PL,E2,308,2018,54210
229,8906,NO,E,320,2012,78954
230,6070,NL,D2,320,2018,99000
232,9644,NL,D,320,2007,42500
233,7486,NL,D,320,2010,63900
234,6971,DE,E,320,2013,71500
235,12609,NL,D,320,2010,58900
236,6000,NO,D,320,2011,70874
237,5703,NL,F,320,2017,100000
238,10625,SE,E,320,2012,86064
239,10535,TR,D,320,2013,74250
240,2700,NL,NG,320,2020,97500
241,2542,NL,NG,320,2019,97500
243,12000,PL,D,320,2008,21500
244,8600,LV,E,320,2015,83500
245,7740,NL,D,320,2010,61900
246,6000,IT,C,320,2005,48000
247,4980,PL,E,320,2014,88000
248,9508,DE,E,320,2013,68500
249,7134,DE,E,320,2012,68900
250,1302,AT,NG,320,2019,125900
251,10000,DE,E,320,2012,64900
252,8111,BG,D,320,2010,58900
253,9150,DE,E,320,2012,69500
254,7735,NO,E,320,2015,98770
255,13073,NL,C,320,2006,41000
256,3100,BY,NG,320,2020,115000
257,8750,NO,E,320,2014,86780
258,9700,GB,D,320,2007,49453
261,18855,PL,C,320,2003,37284
262,13600,ES,D,320,2010,56000
265,715,BE,D3,320,2020,89000
267,11695,GB,D,320,2011,51192
268,9344,NL,C,320,2005,48500
269,12000,GB,D,320,2007,45765
270,8258,FR,D,320,2011,52000
271,6875,BE,E,320,2015,79500
272,1737,DE,NG,320,2020,165000
273,9300,IE,E,320,2013,66500
274,4355,AT,NG,320,2018,121500
275,7600,NO,E,320,2015,99430
276,9377,PL,E,320,2015,112100
277,16339,NL,D,320,2008,37500
278,12982,NL,D,320,2008,47500
279,14623,NL,C,320,2002,47900
280,5942,BE,D2,320,2017,68880
281,9590,FI,E,320,2013,89500
282,13725,NL,D,320,2009,49800
283,8800,NO,E,320,2014,83580
284,12036,PL,C,320,2005,47044
285,6949,ES,E,320,2016,104500
286,7696,FR,F,320,2016,95000
287,8250,FR,D,320,2011,55000
288,12372,PL,E,320,2012,65000
289,8600,BY,D,320,2010,46900
290,7700,NO,E,320,2015,99770
291,9040,DE,E,320,2013,67500
292,9200,NO,D,320,2011,47326
293,11807,SE,E,320,2013,68563
294,13057,IE,B,320,2005,29950
295,10748,BE,E,320,2014,59000
296,7800,PL,E,320,2014,77500
297,16737,FR,D,320,2010,42900
298,9701,NL,E,320,2013,10000
299,8558,DE,E,320,2013,102221
300,10687,FR,E,320,2012,65000
301,11000,LT,E,320,2015,70000
302,11075,NL,D,320,2008,51900
305,3374,DE,NG,320,2019,159000
306,7800,FI,E,320,2014,105000
307,7720,PL,E,320,2015,74500
308,9674,FI,E,320,2015,98000
309,7814,FI,D,320,2008,46000
310,6900,DE,E,320,2012,69500
311,9996,EE,E,320,2012,62500
312,8300,GB,E,320,2015,71080
313,13213,IE,B,320,2004,30000
314,5027,DE,NG,320,2018,120000
315,17897,NL,D,320,2007,47800
316,12081,NL,E,320,2013,69800
317,8776,PT,F,320,2012,69000
318,3885,DE,NG,320,2018,168948
319,8458,NL,E,320,2012,69000
320,1515,FR,NG,320,2018,155000
321,8169,NL,E,320,2014,67800
322,6500,DE,E,320,2016,118000
323,10611,DE,E,320,2012,66000
324,1608,UA,D2,320,2018,117000
325,1750,UA,D,320,2018,115000
327,11760,NL,E,320,2013,66900
328,9500,PL,E,320,2014,61858
329,2710,TR,NG,320,2020,95000
330,9300,FI,E,320,2015,82000
331,12725,FI,C,320,2003,49900
332,4335,FR,E,320,2015,120000
333,8470,TR,D,320,2014,72000
334,7200,FR,F,320,2017,103000
335,3215,PL,NG,320,2020,136000
336,2801,PL,NG,320,2019,128000
337,9322,NL,C,320,2004,39500
338,9000,NL,C,320,2002,39500
339,3744,PL,F,320,2016,156000
340,8500,NO,E,320,2014,64611
342,9950,NO,E,320,2013,71911
343,10600,DE,E,320,2013,60900
344,7337,SE,F,320,2016,116581
345,895,BE,D3,320,2019,89000
346,18706,NL,D,320,2011,49800
347,11147,PL,D,320,2010,41430
348,1403,NL,D3,320,2018,81800
349,1701,NL,D3,320,2020,86800
350,1364,NL,D,320,2018,85800
351,10275,NL,E,320,2012,62900
352,3330,FI,F,320,2017,124900
353,12076,EE,E,320,2013,67900
354,1181,FR,NG,320,2019,150000
355,8443,FR,E,320,2015,70000
356,22000,EE,D,320,2007,8000
357,10458,PL,E,320,2013,70280
358,5905,FI,F,320,2016,125000
359,6876,PL,E,320,2015,83499
360,10649,PL,E,320,2014,79214
361,3531,PL,F,320,2017,144000
362,11135,NL,E,320,2012,65900
363,12700,NL,C,320,2005,47750
364,7461,EE,E,320,2013,73000
366,8811,BE,E,320,2014,69000
367,4771,UK,F,320,2017,71846
368,5805,NL,F,320,2017,84900
369,8657,EE,E,320,2012,73000
370,5200,DE,E,320,2013,93000
371,10128,DE,D,320,2009,54700
372,6390,FI,F,320,2017,119000
373,15878,NL,D,320,2007,56000
374,11322,NL,D,320,2009,51900
375,15191,NL,C,320,2006,44900
376,7408,NO,E,320,2015,79381
377,15049,DE,B,320,2004,34000
378,9190,BE,E,320,2013,7500
379,9698,BE,E,320,2013,7500
380,13000,IE,D,320,2012,55000
381,3100,LV,NG,320,2019,135000
382,5400,LV,NG,320,2018,95000
383,13717,NL,D,320,2007,51500
384,9000,NL,C,320,2005,44500
385,6500,NO,E,320,2014,84404
386,10430,EE,D,320,2006,43900
387,6463,DE,E,320,2012,79000
388,1925,BE,NG,320,2018,137000
389,6811,SK,E,320,2016,97000
390,3862,NL,NG,320,2019,119500
391,6779,NL,E,320,2014,72500
