,1+2,3
Test-MAE,11767.96,12690.29
Test-MAPE,0.145,0.1591
Test-RMSE,17395.78,18425.88
Test-N-RMSE,0.0656,0.0865
Test-IQR-RMSE,0.2819,0.3656
Test-CV-RMSE,0.191,0.2035
Test-R2,0.8514,0.7754
Training-Duration,1800.973,1806.793
Test-Duration,0.0017556071,0.0009943107
