feature_name,feature_importance_vals,feature_importance_percentage
const_year,12715.12187321796,0.5226395686816878
model,5243.566831121671,0.2155304160114563
extension,4530.655390801536,0.18622706120351223
location,804.9158556619668,0.03308508403008767
working_hours,718.8210855772461,0.029546263564858444
LGP,189.83645334009935,0.007802995762290805
L,63.40512450053695,0.002606190271047927
N,24.921216707232066,0.001024356202068734
XE,20.818340864446427,0.000855712497178683
GC,9.313980635505972,0.00038283980842556173
3B,6.924790078311627,0.0002846350460362576
LR,0.36193560417332726,1.4876921349383849e-05
SA,0.0,0.0
VA,0.0,0.0
RR,0.0,0.0
XL,0.0,0.0
4F,0.0,0.0
