,basic-subset,extension,location,extension-location
Test-MAE,18588.92,15144.45,17129.78,16566.48
Test-MAPE,0.2088,0.1817,0.2037,0.1968
Test-RMSE,28133.76,23514.2,25776.86,26237.74
Test-N-RMSE,0.1061,0.0887,0.0972,0.099
Test-IQR-RMSE,0.456,0.3811,0.4178,0.4252
Test-CV-RMSE,0.3088,0.2581,0.283,0.288
Test-R2,0.6113,0.7285,0.6737,0.662
Training-Duration,69.412,65.85,65.63,65.757
Test-Duration,0.0014559682,0.0015988006,0.0015903281,0.0017539439
