,location-extension
Test-MAE,12054.8
Test-MAPE,0.1442
Test-RMSE,16693.78
Test-N-RMSE,0.0784
Test-IQR-RMSE,0.3312
Test-CV-RMSE,0.1843
Test-R2,0.8157
Training-Duration,16.694
Test-Duration,0.0001784202
