,location-extension
CV - LinReg - Mean MAE,991606329
CV - LinReg - Mean MAPE,14109.745079958773
CV - LinReg - Mean RMSE,15741038585
CV - LinReg - Mean R2Score,-1460463016561.5981
CV - Tree - Mean MAE,15522
CV - Tree - Mean MAPE,0.18541773617512416
CV - Tree - Mean RMSE,23640
CV - Tree - Mean R2Score,0.6741
CV - RandForest - Mean MAE,12200
CV - RandForest - Mean MAPE,0.15232578880230702
CV - RandForest - Mean RMSE,18569
CV - RandForest - Mean R2Score,0.7992
CV - SVR - Mean MAE,15362
CV - SVR - Mean MAPE,0.18118058665458325
CV - SVR - Mean RMSE,22889
CV - SVR - Mean R2Score,0.6965
CV - KNN - Mean MAE,13004
CV - KNN - Mean MAPE,0.16312462918003098
CV - KNN - Mean RMSE,19289
CV - KNN - Mean R2Score,0.7841
CV - AdaBoost - Mean MAE,21678
CV - AdaBoost - Mean MAPE,0.2800071567720388
CV - AdaBoost - Mean RMSE,28728
CV - AdaBoost - Mean R2Score,0.5209
final-model,"RandomForestRegressor(max_depth=20, max_features=21, min_samples_split=6,
                      n_estimators=104)"
Test-MAE,12427.28
Test-MAPE,0.1472
Test-RMSE,17568.35
Test-N-RMSE,0.0825
Test-IQR-RMSE,0.3486
Test-CV-RMSE,0.194
Test-R2,0.7959
Training-Duration,1641.88
Test-Duration,2.52087e-05
